dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.004030,10.731999,0.003704,0.148148,2.962963,59.259259,6.282520
0.050000,2.016673,10.731977,0.016346,0.252844,2.093914,-17.380973,6.280429
0.050000,2.037759,10.731882,0.037433,0.421738,3.377886,25.679437,6.276920
0.050000,2.067315,10.731624,0.066990,0.591136,3.387948,0.201244,6.271960
0.050000,2.105373,10.731074,0.105052,0.761248,3.402250,0.286039,6.265499
0.050000,2.151977,10.730063,0.151667,0.932298,3.421007,0.375133,6.257474
0.050000,2.207178,10.728377,0.206893,1.104523,3.444482,0.469504,6.247804
0.050000,2.271032,10.725753,0.270802,1.278172,3.472984,0.570031,6.236393
0.050000,2.343605,10.721874,0.343477,1.453514,3.506846,0.677235,6.223123
0.050000,2.424960,10.716361,0.425019,1.630834,3.546395,0.790995,6.207861
0.050000,2.515162,10.708767,0.515540,1.810429,3.591910,0.910303,6.190450
0.050000,2.614269,10.698568,0.615171,1.992607,3.643544,1.032666,6.170714
0.050000,2.722322,10.685150,0.724054,2.177667,3.701209,1.153298,6.148456
0.050000,2.839338,10.667805,0.842349,2.365888,3.764417,1.264164,6.123459
0.050000,2.965290,10.645714,0.970223,2.557490,3.832046,1.352579,6.095493
0.050000,3.100088,10.617941,1.107853,2.752591,3.902023,1.399553,6.064318
0.050000,3.243553,10.583429,1.255410,2.951138,3.970938,1.378300,6.029697
0.050000,3.395376,10.540999,1.413050,3.152818,4.033592,1.253076,5.991417
0.050000,3.555083,10.489362,1.580898,3.356948,4.082598,0.980121,5.949310
0.050000,3.721984,10.427153,1.759016,3.562357,4.108187,0.511779,5.903286
0.050000,3.895128,10.352975,1.947380,3.767283,4.098514,-0.193466,5.853380
0.050000,4.073268,10.265483,2.145846,3.969324,4.040817,-1.153929,5.799786
0.050000,4.254855,10.163480,2.354121,4.165509,3.923709,-2.342177,5.742905
0.050000,4.438067,10.046029,2.571748,4.352534,3.740497,-3.664232,5.683363
0.050000,4.620894,9.912565,2.798107,4.527174,3.492793,-4.954072,5.622006
0.050000,4.801270,9.762965,3.032448,4.686818,3.192896,-5.997939,5.559862
0.050000,4.977239,9.597566,3.273947,4.829985,2.863331,-6.591317,5.498057
0.050000,5.144141,9.420463,3.517302,4.867093,0.742170,-42.423221,5.438780
0.050000,5.298637,9.236510,3.757527,4.804500,-1.251859,-39.880565,5.383787
0.050000,5.441207,9.047351,3.994396,4.737393,-1.342144,-1.805702,5.333384
0.050000,5.572595,8.854393,4.227839,4.668855,-1.370774,-0.572606,5.287670
