dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.003057,9.267999,0.003704,0.148148,2.962963,59.259259,6.282520
0.050000,2.012637,9.267983,0.013284,0.191601,0.869047,-41.878316,6.280429
0.050000,2.028587,9.267911,0.029234,0.319002,2.548033,33.579722,6.276920
0.050000,2.050881,9.267716,0.051529,0.445900,2.537965,-0.201373,6.271960
0.050000,2.079482,9.267303,0.080133,0.572083,2.523650,-0.286294,6.265499
0.050000,2.114340,9.266547,0.114999,0.697327,2.504878,-0.375442,6.257474
0.050000,2.155391,9.265293,0.156069,0.821396,2.481381,-0.469932,6.247804
0.050000,2.202553,9.263356,0.203271,0.944038,2.452851,-0.570609,6.236393
0.050000,2.255727,9.260514,0.256520,1.064986,2.418952,-0.677968,6.223123
0.050000,2.314789,9.256512,0.315718,1.183954,2.379354,-0.791966,6.207861
0.050000,2.379592,9.251058,0.380750,1.300642,2.333776,-0.911569,6.190450
0.050000,2.449958,9.243818,0.451487,1.414746,2.282062,-1.034270,6.170714
0.050000,2.525674,9.234418,0.527785,1.525960,2.224294,-1.155355,6.148456
0.050000,2.606492,9.222441,0.609486,1.634008,2.160955,-1.266781,6.123459
0.050000,2.692119,9.207426,0.696419,1.738666,2.093163,-1.355847,6.095493
0.050000,2.782218,9.188867,0.788410,1.839815,2.022983,-1.403605,6.064318
0.050000,2.876408,9.166213,0.885285,1.937507,1.953824,-1.383167,6.029697
0.050000,2.974262,9.138872,0.986888,2.032051,1.890885,-1.258794,5.991417
0.050000,3.075320,9.106205,1.093094,2.124129,1.841560,-0.986500,5.949310
0.050000,3.179094,9.067533,1.203840,2.214911,1.815639,-0.518421,5.903286
0.050000,3.285087,9.022131,1.319148,2.306161,1.825002,0.187273,5.853380
0.050000,3.392813,8.969229,1.439162,2.400284,1.882466,1.149278,5.799786
0.050000,3.501808,8.908005,1.564175,2.500259,1.999489,2.340454,5.742905
0.050000,3.611645,8.837591,1.694645,2.609400,2.182830,3.666831,5.683363
0.050000,3.721928,8.757075,1.831192,2.730947,2.430929,4.961972,5.622006
0.050000,3.832279,8.665536,1.974568,2.867521,2.731486,6.011147,5.559862
0.050000,3.942314,8.562082,2.125599,3.020617,3.061918,6.608624,5.498057
0.050000,4.049689,8.448109,2.282186,3.131735,2.222365,-16.791040,5.438780
0.050000,4.152394,8.325783,2.441910,3.194491,1.255124,-19.344823,5.383787
0.050000,4.250536,8.195530,2.604998,3.261760,1.345372,1.804950,5.333384
0.050000,4.344241,8.057874,2.771521,3.330449,1.373780,0.568155,5.287670
0.050000,4.433672,7.913403,2.941432,3.398224,1.355503,-0.365533,5.246581
0.050000,4.519036,7.762729,3.114608,3.463510,1.305712,-0.995811,5.209949
0.050000,4.600585,7.606458,3.290877,3.525381,1.237424,-1.365772,5.177540
0.050000,4.678610,7.445169,3.470047,3.583415,1.160690,-1.534675,5.149093
0.050000,4.753437,7.279397,3.651925,3.637549,1.082666,-1.560490,5.124342
0.050000,4.825414,7.109627,3.836322,3.687953,1.008084,-1.491632,5.103032
0.050000,4.894910,6.936293,4.023070,3.734945,0.939851,-1.364661,5.084930
0.050000,4.962308,6.759776,4.212016,3.778925,0.879589,-1.205229,5.069832
0.050000,5.027998,6.580410,4.403032,3.820329,0.828080,-1.030189,5.057561
0.050000,5.092382,6.398487,4.596013,3.859608,0.785588,-0.849834,5.047972
0.050000,5.155868,6.214258,4.790873,3.897213,0.752095,-0.669872,5.040952
0.050000,5.218872,6.027943,4.987553,3.933585,0.727450,-0.492884,5.036416
0.050000,5.281822,5.839733,5.186011,3.969159,0.711478,-0.319446,5.034309
0.050000,5.345159,5.649797,5.386229,4.004361,0.704034,-0.148886,5.034607
0.050000,5.409341,5.458285,5.588209,4.039613,0.705043,0.020175,5.037313
0.050000,5.474849,5.265335,5.791976,4.075339,0.714513,0.189411,5.042459
0.050000,5.542189,5.071078,5.997575,4.111966,0.732536,0.360454,5.050108
0.050000,5.611900,4.875642,6.205071,4.149929,0.759263,0.534543,5.060350
0.050000,5.684561,4.679164,6.414555,4.189672,0.794867,0.712090,5.073308
0.050000,5.760796,4.481793,6.626137,4.231646,0.839472,0.892097,5.089134
0.050000,5.841282,4.283705,6.839952,4.276298,0.893038,1.071309,5.108011
0.050000,5.926754,4.085114,7.056155,4.324057,0.955190,1.243036,5.130152
0.050000,6.018012,3.886292,7.274920,4.375305,1.024967,1.395552,5.155796
0.050000,6.115921,3.687588,7.496436,4.430329,1.100471,1.510068,5.185201
0.050000,6.221404,3.489455,7.720899,4.489249,1.178393,1.558452,5.218634
0.050000,6.335435,3.292485,7.948495,4.551922,1.253460,1.501330,5.256352
0.050000,6.459007,3.097446,8.179386,4.617814,1.317846,1.287730,5.298575
0.050000,6.593090,2.905313,8.413678,4.685853,1.360775,0.858576,5.345453
0.050000,6.738557,2.717305,8.651392,4.754284,1.368624,0.156983,5.397011
0.050000,6.896100,2.534890,8.892422,4.820585,1.326032,-0.851842,5.453105
0.050000,7.065299,2.360552,9.135366,4.858887,0.766029,-11.200053,5.513081
0.050000,7.242485,2.198988,9.375152,4.795727,-1.263196,-40.584499,5.575065
0.050000,7.423615,2.053343,9.607575,4.648458,-2.945374,-33.643560,5.637107
0.050000,7.606691,1.923844,9.831823,4.484956,-3.270053,-6.493579,5.698098
0.050000,7.789647,1.810253,10.047174,4.307017,-3.558780,-5.774541,5.757048
0.050000,7.970511,1.711907,10.253046,4.117451,-3.791311,-4.650626,5.813164
0.050000,8.147521,1.627797,10.449024,3.919548,-3.958060,-3.334982,5.865875
0.050000,8.319201,1.556678,10.634852,3.716561,-4.059744,-2.033673,5.914835
0.050000,8.484380,1.497183,10.810419,3.511334,-4.104538,-0.895884,5.959890
0.050000,8.642175,1.447921,10.975724,3.306113,-4.104432,0.002113,6.001043
0.050000,8.791952,1.407538,11.130850,3.102507,-4.072122,0.646211,6.038405
0.050000,8.933281,1.374774,11.275927,2.901556,-4.019004,1.062354,6.072156
0.050000,9.065892,1.348477,11.411120,2.703843,-3.954265,1.294785,6.102520
0.050000,9.189627,1.327622,11.536600,2.509607,-3.884723,1.390833,6.129734
0.050000,9.304415,1.311301,11.652543,2.318852,-3.815097,1.392526,6.154036
0.050000,9.410242,1.298725,11.759114,2.131431,-3.748430,1.333331,6.175655
0.050000,9.507131,1.289208,11.856469,1.947104,-3.686529,1.238027,6.194801
0.050000,9.595128,1.282161,11.944749,1.765587,-3.630336,1.123861,6.211668
0.050000,9.674294,1.277079,12.024077,1.586576,-3.580222,1.002270,6.226426
0.050000,9.744693,1.273533,12.094566,1.409766,-3.536204,0.880371,6.239226
0.050000,9.806391,1.271159,12.156309,1.234862,-3.498090,0.762276,6.250198
0.050000,9.859448,1.269655,12.209388,1.061582,-3.465585,0.650102,6.259453
0.050000,9.903923,1.268769,12.253871,0.889665,-3.438357,0.544556,6.267085
0.050000,9.939863,1.268300,12.289814,0.718861,-3.416077,0.445608,6.273169
0.050000,9.967309,1.268088,12.317261,0.548938,-3.398445,0.352630,6.277766
0.050000,9.986293,1.268016,12.336245,0.379678,-3.385212,0.264662,6.280920
0.050000,9.996836,1.268001,12.346789,0.210869,-3.376176,0.180722,6.282663
0.050000,10.000000,1.268000,12.349952,0.063278,-2.951832,8.486881,0.000000
0.050000,10.000000,1.268000,12.349952,0.000000,-1.265550,33.725629,0.000000
