dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500031,23.180000,0.000199,0.019900,0.995025,49.751244,0.000001
0.020000,1.500797,23.180000,0.000964,0.038274,0.918668,-3.817868,0.000027
0.020000,1.502519,23.180000,0.002687,0.086117,2.392140,73.673638,0.000085
0.020000,1.505390,23.180000,0.005557,0.143529,2.870631,23.924548,0.000182
0.020000,1.509409,23.180001,0.009576,0.200944,2.870746,0.005713,0.000318
0.020000,1.514576,23.180004,0.014744,0.258362,2.870906,0.008002,0.000492
0.020000,1.520892,23.180007,0.021059,0.315785,2.871111,0.010293,0.000706
0.020000,1.528356,23.180014,0.028523,0.373212,2.871363,0.012585,0.000957
0.020000,1.536969,23.180023,0.037136,0.430645,2.871661,0.014886,0.001247
0.020000,1.546730,23.180037,0.046898,0.488085,2.872005,0.017190,0.001576
0.020000,1.557641,23.180056,0.057809,0.545533,2.872395,0.019499,0.001942
0.020000,1.569701,23.180082,0.069869,0.602990,2.872831,0.021815,0.002347
0.020000,1.582910,23.180116,0.083078,0.660456,2.873314,0.024139,0.002790
0.020000,1.597268,23.180159,0.097436,0.717933,2.873843,0.026471,0.003270
0.020000,1.612777,23.180214,0.112945,0.775421,2.874419,0.028813,0.003788
0.020000,1.629435,23.180282,0.129603,0.832922,2.875043,0.031159,0.004343
0.020000,1.647244,23.180364,0.147412,0.890436,2.875713,0.033522,0.004935
0.020000,1.666203,23.180464,0.166371,0.947965,2.876431,0.035888,0.005564
0.020000,1.686313,23.180583,0.186481,1.005509,2.877196,0.038272,0.006229
0.020000,1.707573,23.180722,0.207743,1.063069,2.878009,0.040662,0.006931
0.020000,1.729986,23.180886,0.230156,1.120646,2.878871,0.043068,0.007669
0.020000,1.753550,23.181076,0.253720,1.178242,2.879780,0.045483,0.008443
0.020000,1.778266,23.181295,0.278438,1.235857,2.880739,0.047911,0.009252
0.020000,1.804135,23.181545,0.304307,1.293492,2.881746,0.050357,0.010096
0.020000,1.831156,23.181830,0.331330,1.351148,2.882802,0.052806,0.010974
0.020000,1.859331,23.182152,0.359507,1.408826,2.883908,0.055279,0.011887
0.020000,1.888659,23.182514,0.388837,1.466527,2.885063,0.057760,0.012834
0.020000,1.919141,23.182920,0.419323,1.524252,2.886268,0.060255,0.013814
0.020000,1.950778,23.183373,0.450963,1.582003,2.887523,0.062767,0.014827
0.020000,1.983570,23.183877,0.483758,1.639780,2.888829,0.065287,0.015873
0.020000,2.017517,23.184434,0.517710,1.697583,2.890185,0.067826,0.016952
0.020000,2.052620,23.185049,0.552818,1.755415,2.891593,0.070376,0.018061
0.020000,2.088879,23.185724,0.589084,1.813276,2.893052,0.072941,0.019202
0.020000,2.126295,23.186465,0.626507,1.871167,2.894562,0.075519,0.020374
0.020000,2.164869,23.187274,0.665089,1.929090,2.896124,0.078109,0.021576
0.020000,2.204600,23.188156,0.704830,1.987045,2.897739,0.080712,0.022807
0.020000,2.245489,23.189114,0.745730,2.045033,2.899405,0.083328,0.024068
0.020000,2.287537,23.190154,0.787791,2.103055,2.901124,0.085958,0.025357
0.020000,2.330745,23.191278,0.831014,2.161113,2.902896,0.088594,0.026674
0.020000,2.375113,23.192492,0.875398,2.219208,2.904721,0.091248,0.028018
