dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500034,20.820000,0.000199,0.019900,0.995025,49.751244,0.000001
0.020000,1.500860,20.820000,0.001026,0.041328,1.071382,3.817866,0.000027
0.020000,1.502720,20.820000,0.002885,0.092988,2.582984,75.580097,0.000085
0.020000,1.505820,20.820001,0.005985,0.154978,3.099518,25.826691,0.000182
0.020000,1.510159,20.820002,0.010324,0.216966,3.099404,-0.005713,0.000318
0.020000,1.515738,20.820004,0.015903,0.278951,3.099244,-0.008001,0.000492
0.020000,1.522557,20.820008,0.022722,0.340932,3.099038,-0.010292,0.000706
0.020000,1.530615,20.820015,0.030780,0.402908,3.098786,-0.012589,0.000957
0.020000,1.539912,20.820025,0.040078,0.464877,3.098488,-0.014885,0.001247
0.020000,1.550449,20.820040,0.050614,0.526840,3.098145,-0.017189,0.001576
0.020000,1.562225,20.820060,0.062390,0.588795,3.097755,-0.019500,0.001942
0.020000,1.575240,20.820088,0.075405,0.650742,3.097318,-0.021818,0.002347
0.020000,1.589493,20.820125,0.089659,0.712678,3.096835,-0.024140,0.002790
0.020000,1.604985,20.820172,0.105151,0.774605,3.096306,-0.026472,0.003270
0.020000,1.621716,20.820231,0.121881,0.836519,3.095730,-0.028811,0.003788
0.020000,1.639684,20.820304,0.139850,0.898421,3.095106,-0.031164,0.004343
0.020000,1.658890,20.820393,0.159056,0.960310,3.094436,-0.033520,0.004935
0.020000,1.679333,20.820500,0.179499,1.022184,3.093718,-0.035894,0.005564
0.020000,1.701014,20.820628,0.201180,1.084043,3.092953,-0.038271,0.006229
0.020000,1.723931,20.820779,0.224098,1.145886,3.092139,-0.040666,0.006931
0.020000,1.748085,20.820955,0.248252,1.207712,3.091278,-0.043068,0.007669
0.020000,1.773474,20.821160,0.273643,1.269519,3.090368,-0.045486,0.008443
0.020000,1.800099,20.821396,0.300269,1.331307,3.089410,-0.047915,0.009252
0.020000,1.827960,20.821665,0.328130,1.393075,3.088403,-0.050353,0.010096
0.020000,1.857054,20.821972,0.357227,1.454822,3.087347,-0.052814,0.010974
0.020000,1.887383,20.822318,0.387558,1.516547,3.086241,-0.055279,0.011887
0.020000,1.918946,20.822708,0.419123,1.578249,3.085086,-0.057762,0.012834
0.020000,1.951742,20.823145,0.451921,1.639926,3.083881,-0.060258,0.013814
0.020000,1.985770,20.823633,0.485953,1.701579,3.082625,-0.062765,0.014827
0.020000,2.021030,20.824174,0.521217,1.763205,3.081320,-0.065292,0.015873
0.020000,2.057521,20.824773,0.557713,1.824805,3.079963,-0.067827,0.016952
0.020000,2.095243,20.825434,0.595441,1.886376,3.078555,-0.070378,0.018061
0.020000,2.134194,20.826159,0.634399,1.947918,3.077097,-0.072943,0.019202
0.020000,2.174375,20.826955,0.674587,2.009429,3.075586,-0.075520,0.020374
0.020000,2.215784,20.827823,0.716006,2.070910,3.074024,-0.078111,0.021576
0.020000,2.258421,20.828770,0.758653,2.132358,3.072410,-0.080715,0.022807
0.020000,2.302284,20.829798,0.802528,2.193773,3.070743,-0.083331,0.024068
0.020000,2.347373,20.830912,0.847631,2.255153,3.069024,-0.085957,0.025357
0.020000,2.393688,20.832118,0.893961,2.316498,3.067252,-0.088600,0.026674
0.020000,2.441226,20.833418,0.941517,2.377807,3.065427,-0.091247,0.028018
0.020000,2.489987,20.834818,0.990299,2.439078,3.063549,-0.093908,0.029389
0.020000,2.539971,20.836322,1.040305,2.500310,3.061617,-0.096580,0.030785
0.020000,2.591176,20.837936,1.091535,2.561503,3.059632,-0.099260,0.032207
0.020000,2.643600,20.839663,1.143988,2.622655,3.057593,-0.101945,0.033653
0.020000,2.697244,20.841508,1.197664,2.683765,3.055500,-0.104644,0.035124
0.020000,2.752105,20.843477,1.252560,2.744832,3.053353,-0.107345,0.036617
0.020000,2.808183,20.845574,1.308677,2.805855,3.051152,-0.110052,0.038133
0.020000,2.865476,20.847804,1.366014,2.866833,3.048897,-0.112769,0.039671
0.020000,2.923984,20.850172,1.424569,2.927765,3.046587,-0.115484,0.041229
0.020000,2.983704,20.852683,1.484342,2.988649,3.044223,-0.118205,0.042808
0.020000,3.044636,20.855342,1.545332,3.049485,3.041805,-0.120929,0.044405
0.020000,3.106778,20.858153,1.607538,3.110272,3.039332,-0.123654,0.046021
0.020000,3.170128,20.861123,1.670958,3.171008,3.036804,-0.126377,0.047655
0.020000,3.234686,20.864255,1.735592,3.231692,3.034222,-0.129102,0.049305
0.020000,3.300450,20.867555,1.801438,3.292324,3.031586,-0.131823,0.050971
0.020000,3.367418,20.871028,1.868496,3.352902,3.028895,-0.134542,0.052652
0.020000,3.435589,20.874679,1.936765,3.413425,3.026150,-0.137258,0.054347
