dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500134,23.180000,0.000199,0.019900,0.995025,49.751244,6.283179
0.020000,1.500974,23.180000,0.001039,0.041989,1.104410,5.469254,6.283142
0.020000,1.502863,23.180000,0.002928,0.094480,2.624577,76.008355,6.283059
0.020000,1.506013,23.179999,0.006078,0.157485,3.150214,26.281848,6.282919
0.020000,1.510423,23.179998,0.010488,0.220515,3.151525,0.065560,6.282723
0.020000,1.516095,23.179994,0.016160,0.283582,3.153364,0.091955,6.282470
0.020000,1.523029,23.179988,0.023094,0.346697,3.155735,0.118550,6.282160
0.020000,1.531226,23.179978,0.031291,0.409870,3.158643,0.145382,6.281790
0.020000,1.540688,23.179963,0.040754,0.473112,3.162093,0.172510,6.281360
0.020000,1.551417,23.179941,0.051482,0.536434,3.166093,0.200005,6.280869
0.020000,1.563414,23.179910,0.063479,0.599847,3.170651,0.227903,6.280315
0.020000,1.576681,23.179868,0.076746,0.663362,3.175778,0.256316,6.279697
0.020000,1.591221,23.179812,0.091286,0.726992,3.181483,0.285266,6.279012
0.020000,1.607036,23.179740,0.107101,0.790747,3.187780,0.314856,6.278258
0.020000,1.624128,23.179649,0.124194,0.854641,3.194683,0.345167,6.277433
0.020000,1.642501,23.179535,0.142568,0.918685,3.202209,0.376266,6.276534
0.020000,1.662159,23.179394,0.162226,0.982893,3.210374,0.408270,6.275559
0.020000,1.683104,23.179224,0.183171,1.047277,3.219199,0.441257,6.274505
0.020000,1.705340,23.179018,0.205408,1.111851,3.228706,0.475343,6.273368
0.020000,1.728871,23.178773,0.228941,1.176629,3.238919,0.510649,6.272145
0.020000,1.753702,23.178482,0.253773,1.241627,3.249865,0.547300,6.270833
0.020000,1.779837,23.178141,0.279910,1.306858,3.261573,0.585408,6.269426
0.020000,1.807281,23.177743,0.307357,1.372340,3.274077,0.625161,6.267922
0.020000,1.836039,23.177281,0.336119,1.438088,3.287410,0.666695,6.266315
0.020000,1.866116,23.176748,0.366201,1.504120,3.301614,0.710172,6.264601
0.020000,1.897520,23.176135,0.397610,1.570455,3.316730,0.755811,6.262774
0.020000,1.930254,23.175435,0.430353,1.637111,3.332806,0.803796,6.260830
0.020000,1.964327,23.174638,0.464435,1.704109,3.349893,0.854361,6.258762
0.020000,1.999745,23.173734,0.499864,1.771470,3.368048,0.907738,6.256564
0.020000,2.036515,23.172713,0.536649,1.839216,3.387332,0.964190,6.254229
0.020000,2.074645,23.171561,0.574796,1.907372,3.407812,1.024033,6.251752
0.020000,2.114143,23.170267,0.614315,1.975964,3.429563,1.087537,6.249123
0.020000,2.155018,23.168818,0.655216,2.045017,3.452665,1.155069,6.246337
