dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500120,20.820000,0.000199,0.019900,0.995025,49.751244,6.283179
0.020000,1.500872,20.820000,0.000951,0.037613,0.885640,-5.469254,6.283142
0.020000,1.502565,20.820000,0.002644,0.084624,2.350547,73.245378,6.283059
0.020000,1.505385,20.819999,0.005464,0.141023,2.819935,23.469388,6.282919
0.020000,1.509333,20.819998,0.009412,0.197395,2.818624,-0.065549,6.282723
0.020000,1.514408,20.819995,0.014487,0.253731,2.816785,-0.091964,6.282470
0.020000,1.520608,20.819989,0.020687,0.310019,2.814414,-0.118550,6.282160
0.020000,1.527933,20.819981,0.028012,0.366250,2.811506,-0.145383,6.281790
0.020000,1.536381,20.819967,0.036460,0.422411,2.808056,-0.172514,6.281360
0.020000,1.545951,20.819947,0.046030,0.478492,2.804056,-0.199998,6.280869
0.020000,1.556641,20.819919,0.056720,0.534482,2.799498,-0.227920,6.280315
0.020000,1.568448,20.819882,0.068527,0.590369,2.794371,-0.256307,6.279697
0.020000,1.581371,20.819832,0.081450,0.646142,2.788666,-0.285272,6.279012
0.020000,1.595406,20.819769,0.095486,0.701790,2.782369,-0.314865,6.278258
0.020000,1.610552,20.819688,0.110632,0.757299,2.775465,-0.345166,6.277433
0.020000,1.626805,20.819587,0.126885,0.812658,2.767940,-0.376278,6.276534
0.020000,1.644162,20.819463,0.144242,0.867853,2.759774,-0.408271,6.275559
0.020000,1.662618,20.819313,0.162699,0.922872,2.750949,-0.441264,6.274505
0.020000,1.682172,20.819132,0.182254,0.977701,2.741442,-0.475356,6.273368
0.020000,1.702817,20.818917,0.202900,1.032326,2.731229,-0.510659,6.272145
0.020000,1.724550,20.818662,0.224635,1.086731,2.720283,-0.547299,6.270833
0.020000,1.747366,20.818364,0.247453,1.140903,2.708574,-0.585434,6.269426
0.020000,1.771260,20.818018,0.271349,1.194824,2.696071,-0.625174,6.267922
0.020000,1.796227,20.817617,0.296319,1.248479,2.682737,-0.666702,6.266315
0.020000,1.822259,20.817155,0.322356,1.301850,2.668533,-0.710200,6.264601
0.020000,1.849353,20.816627,0.349454,1.354918,2.653416,-0.755832,6.262774
0.020000,1.877500,20.816025,0.377607,1.407665,2.637340,-0.803822,6.260830
0.020000,1.906693,20.815342,0.406809,1.460070,2.620252,-0.854383,6.258762
0.020000,1.936925,20.814571,0.437051,1.512112,2.602097,-0.907767,6.256564
0.020000,1.968189,20.813702,0.468326,1.563768,2.582812,-0.964240,6.254229
0.020000,2.000474,20.812727,0.500627,1.615015,2.562330,-1.024064,6.251752
0.020000,2.033773,20.811636,0.533943,1.665826,2.540579,-1.087587,6.249123
0.020000,2.068075,20.810420,0.568267,1.716176,2.517476,-1.155126,6.246337
0.020000,2.103370,20.809067,0.603587,1.766034,2.492935,-1.227055,6.243383
0.020000,2.139646,20.807566,0.639895,1.815372,2.466859,-1.303780,6.240254
0.020000,2.176892,20.805904,0.677178,1.864155,2.439145,-1.385741,6.236939
0.020000,2.215095,20.804069,0.715425,1.912348,2.409677,-1.473388,6.233430
0.020000,2.254241,20.802047,0.754623,1.959915,2.378331,-1.567282,6.229715
0.020000,2.294316,20.799824,0.794760,2.006814,2.344973,-1.667919,6.225783
0.020000,2.335303,20.797383,0.835820,2.053003,2.309454,-1.775960,6.221622
0.020000,2.377187,20.794710,0.877788,2.098436,2.271614,-1.892010,6.217219
0.020000,2.419948,20.791785,0.920650,2.143061,2.231278,-2.016787,6.212561
0.020000,2.463568,20.788592,0.964386,2.186826,2.188257,-2.151035,6.207632
0.020000,2.508025,20.785111,1.008980,2.229673,2.142346,-2.295566,6.202418
0.020000,2.553298,20.781322,1.054410,2.271540,2.093322,-2.451210,6.196901
0.020000,2.599361,20.777203,1.100657,2.312358,2.040944,-2.618865,6.191065
0.020000,2.646189,20.772732,1.147699,2.352058,1.984954,-2.799507,6.184889
0.020000,2.693754,20.767885,1.195510,2.390559,1.925073,-2.994038,6.178354
0.020000,2.742025,20.762638,1.244065,2.427779,1.861003,-3.203525,6.171439
0.020000,2.790970,20.756966,1.293338,2.463628,1.792425,-3.428890,6.164118
0.020000,2.840554,20.750841,1.343298,2.498008,1.719002,-3.671152,6.156369
0.020000,2.890737,20.744234,1.393914,2.530815,1.640379,-3.931166,6.148164
0.020000,2.941479,20.737118,1.445153,2.561939,1.556184,-4.209751,6.139474
0.020000,2.992736,20.729462,1.496978,2.591260,1.466034,-4.507484,6.130270
0.020000,3.044458,20.721234,1.549351,2.618650,1.369540,-4.824703,6.120518
0.020000,3.096595,20.712403,1.602231,2.643977,1.266313,-5.161344,6.110183
0.020000,3.149090,20.702935,1.655573,2.667096,1.155977,-5.516823,6.099229
0.020000,3.201883,20.692798,1.709330,2.687860,1.038181,-5.889789,6.087614
0.020000,3.254908,20.681957,1.763452,2.706112,0.912622,-6.277964,6.075297
0.020000,3.308096,20.670377,1.817886,2.721694,0.779067,-6.677744,6.062232
0.020000,3.361372,20.658026,1.872575,2.734441,0.637388,-7.083924,6.048372
0.020000,3.414655,20.644868,1.927459,2.744193,0.487606,-7.489132,6.033665
0.020000,3.467861,20.630871,1.982475,2.750792,0.329938,-7.883367,6.018057
0.020000,3.520898,20.616002,2.037556,2.754090,0.164872,-8.253333,6.001494
0.020000,3.573671,20.600231,2.092636,2.753954,-0.006762,-8.581669,5.983917
0.020000,3.626080,20.583530,2.147641,2.750281,-0.183687,-8.846240,5.965266
0.020000,3.678020,20.565872,2.202501,2.742999,-0.364072,-9.019266,5.945479
0.020000,3.729258,20.547281,2.257007,2.725311,-0.884384,-26.015619,5.924550
0.020000,3.779448,20.527841,2.310831,2.691180,-1.706583,-41.109949,5.902536
0.020000,3.828277,20.507654,2.363669,2.641892,-2.464369,-37.889260,5.879518
0.020000,3.875582,20.486782,2.415373,2.585231,-2.833067,-18.434908,5.855540
0.020000,3.921333,20.465243,2.465941,2.528369,-2.843089,-0.501101,5.830598
0.020000,3.965511,20.443057,2.515376,2.471771,-2.829916,0.658648,5.804697
0.020000,4.008104,20.420241,2.563696,2.415971,-2.790027,1.994459,5.777851
0.020000,4.049113,20.396810,2.610927,2.361569,-2.720065,3.498092,5.750082
0.020000,4.088552,20.372776,2.657112,2.309228,-2.617047,5.150885,5.721426
0.020000,4.126443,20.348146,2.702305,2.259656,-2.478602,6.922258,5.691930
0.020000,4.162825,20.322919,2.746577,2.213592,-2.303223,8.768962,5.661653
0.020000,4.197744,20.297087,2.790012,2.171781,-2.090515,10.635395,5.630668
0.020000,4.231259,20.270631,2.832711,2.134953,-1.841409,12.455300,5.599059
0.020000,4.263437,20.243521,2.874787,2.103787,-1.558310,14.154958,5.566921
0.020000,4.294351,20.215717,2.916365,2.078884,-1.245152,15.657875,5.534361
0.020000,4.324076,20.187168,2.957579,2.060737,-0.907341,16.890555,5.501494
0.020000,4.352690,20.157812,2.998574,2.049706,-0.551564,17.788843,5.468440
0.020000,4.380267,20.127580,3.039493,2.045996,-0.185486,18.303898,5.435323
0.020000,4.406875,20.096396,3.080486,2.049649,0.182657,18.407132,5.402267
0.020000,4.432576,20.064181,3.121697,2.060540,0.544518,18.093096,5.369397
0.020000,4.457422,20.030857,3.163265,2.078382,0.892120,17.380094,5.336829
0.020000,4.481455,19.996345,3.205320,2.102748,1.218284,16.308182,5.304673
0.020000,4.504705,19.960576,3.247982,2.133088,1.516986,14.935117,5.273032
0.020000,4.527193,19.923485,3.291357,2.168760,1.783600,13.330703,5.241996
0.020000,4.548927,19.885020,3.335538,2.209060,2.015011,11.570537,5.211642
