dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500048,23.180000,0.000199,0.019900,0.995025,49.751244,0.000003
0.020000,1.500792,23.180000,0.000943,0.037220,0.865963,-6.453118,0.000047
0.020000,1.502467,23.180000,0.002618,0.083745,2.326277,73.015702,0.000145
0.020000,1.505259,23.180001,0.005410,0.139578,2.791640,23.268149,0.000309
0.020000,1.509167,23.180002,0.009318,0.195415,2.791835,0.009776,0.000538
0.020000,1.514192,23.180006,0.014343,0.251257,2.792109,0.013692,0.000833
0.020000,1.520334,23.180012,0.020485,0.307106,2.792462,0.017633,0.001194
0.020000,1.527594,23.180022,0.027745,0.362964,2.792893,0.021587,0.001619
0.020000,1.535970,23.180038,0.036121,0.418832,2.793404,0.025556,0.002109
0.020000,1.545464,23.180061,0.045616,0.474712,2.793996,0.029555,0.002664
0.020000,1.556077,23.180092,0.056228,0.530605,2.794667,0.033587,0.003284
0.020000,1.567807,23.180135,0.067958,0.586514,2.795420,0.037636,0.003968
0.020000,1.580655,23.180191,0.080807,0.642439,2.796255,0.041730,0.004716
0.020000,1.594623,23.180262,0.094774,0.698382,2.797172,0.045859,0.005528
0.020000,1.609709,23.180352,0.109861,0.754346,2.798172,0.050029,0.006402
0.020000,1.625916,23.180463,0.126068,0.810331,2.799257,0.054247,0.007340
0.020000,1.643242,23.180599,0.143395,0.866339,2.800427,0.058500,0.008341
0.020000,1.661689,23.180763,0.161842,0.922373,2.801683,0.062813,0.009404
0.020000,1.681256,23.180958,0.181411,0.978434,2.803027,0.067177,0.010528
0.020000,1.701946,23.181188,0.202101,1.034523,2.804459,0.071587,0.011714
0.020000,1.723757,23.181457,0.223914,1.090642,2.805980,0.076059,0.012960
0.020000,1.746691,23.181769,0.246850,1.146794,2.807592,0.080590,0.014267
0.020000,1.770747,23.182129,0.270910,1.202980,2.809295,0.085177,0.015633
0.020000,1.795928,23.182541,0.296094,1.259202,2.811092,0.089826,0.017058
0.020000,1.822233,23.183009,0.322403,1.315462,2.812983,0.094536,0.018542
0.020000,1.849663,23.183539,0.349838,1.371761,2.814969,0.099315,0.020083
0.020000,1.878219,23.184135,0.378400,1.428102,2.817052,0.104145,0.021681
0.020000,1.907901,23.184803,0.408090,1.484487,2.819233,0.109056,0.023335
0.020000,1.938711,23.185549,0.438908,1.540917,2.821513,0.114014,0.025045
0.020000,1.970648,23.186377,0.470856,1.597395,2.823894,0.119049,0.026809
0.020000,2.003714,23.187294,0.503935,1.653922,2.826377,0.124141,0.028627
0.020000,2.037909,23.188305,0.538145,1.710502,2.828963,0.129301,0.030498
0.020000,2.073234,23.189417,0.573487,1.767135,2.831653,0.134516,0.032421
0.020000,2.109690,23.190635,0.609964,1.823824,2.834449,0.139798,0.034396
0.020000,2.147278,23.191967,0.647575,1.880571,2.837352,0.145135,0.036420
0.020000,2.185998,23.193418,0.686323,1.937378,2.840363,0.150533,0.038493
0.020000,2.225852,23.194995,0.726208,1.994248,2.843482,0.155983,0.040614
0.020000,2.266840,23.196705,0.767231,2.051182,2.846712,0.161485,0.042782
0.020000,2.308963,23.198555,0.809395,2.108183,2.850053,0.167044,0.044996
0.020000,2.352222,23.200552,0.852700,2.165253,2.853506,0.172637,0.047255
0.020000,2.396618,23.202703,0.897148,2.222394,2.857071,0.178286,0.049557
0.020000,2.442151,23.205015,0.942740,2.279610,2.860751,0.183969,0.051901
0.020000,2.488823,23.207495,0.989478,2.336900,2.864544,0.189688,0.054286
0.020000,2.536635,23.210151,1.037364,2.394269,2.868453,0.195441,0.056710
0.020000,2.585587,23.212991,1.086398,2.451719,2.872478,0.201219,0.059173
0.020000,2.635681,23.216022,1.136583,2.509251,2.876618,0.207025,0.061672
0.020000,2.686916,23.219251,1.187920,2.566869,2.880875,0.212844,0.064207
0.020000,2.739295,23.222686,1.240412,2.624574,2.885249,0.218679,0.066776
0.020000,2.792818,23.226335,1.294059,2.682369,2.889739,0.224521,0.069377
0.020000,2.847487,23.230207,1.348864,2.740256,2.894346,0.230372,0.072008
0.020000,2.903301,23.234307,1.404829,2.798237,2.899071,0.236212,0.074669
0.020000,2.960262,23.238646,1.461955,2.856315,2.903912,0.242052,0.077357
0.020000,3.018372,23.243229,1.520245,2.914493,2.908869,0.247877,0.080071
0.020000,3.077630,23.248066,1.579701,2.972771,2.913943,0.253680,0.082810
0.020000,3.138038,23.253164,1.640324,3.031154,2.919132,0.259466,0.085570
0.020000,3.199598,23.258531,1.702117,3.089643,2.924437,0.265215,0.088351
0.020000,3.262309,23.264175,1.765081,3.148240,2.929855,0.270935,0.091151
0.020000,3.326173,23.270103,1.829220,3.206948,2.935387,0.276613,0.093968
0.020000,3.391192,23.276324,1.894536,3.265768,2.941032,0.282243,0.096800
0.020000,3.457365,23.282845,1.961030,3.324704,2.946789,0.287828,0.099644
0.020000,3.524695,23.289674,2.028705,3.383757,2.952656,0.293353,0.102500
0.020000,3.593182,23.296818,2.097564,3.442930,2.958632,0.298820,0.105364
0.020000,3.662828,23.304284,2.167608,3.502224,2.964717,0.304222,0.108236
0.020000,3.733632,23.312081,2.238841,3.561642,2.970908,0.309557,0.111112
0.020000,3.805598,23.320216,2.311265,3.621186,2.977204,0.314819,0.113991
0.020000,3.878725,23.328695,2.384882,3.680859,2.983604,0.320006,0.116870
0.020000,3.953015,23.337526,2.459695,3.740661,2.990107,0.325114,0.119748
0.020000,4.028281,23.346692,2.535516,3.791066,2.520267,-23.491999,0.122615
0.020000,4.104143,23.356150,2.611967,3.822512,1.572276,-47.399516,0.125454
0.020000,4.180226,23.365854,2.688665,3.834940,0.621440,-47.541802,0.128252
0.020000,4.256339,23.375776,2.765422,3.837845,0.145234,-23.810326,0.131000
0.020000,4.332482,23.385913,2.842237,3.840754,0.145447,0.010678,0.133699
