dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500055,20.820000,0.000199,0.019900,0.995025,49.751244,0.000003
0.020000,1.500902,20.820000,0.001047,0.042382,1.124087,6.453117,0.000047
0.020000,1.502809,20.820000,0.002954,0.095359,2.648848,76.238029,0.000145
0.020000,1.505988,20.820001,0.006132,0.158929,3.178510,26.483095,0.000309
0.020000,1.510438,20.820003,0.010582,0.222496,3.178314,-0.009772,0.000538
0.020000,1.516159,20.820007,0.016303,0.286056,3.178040,-0.013702,0.000833
0.020000,1.523151,20.820014,0.023296,0.349610,3.177688,-0.017632,0.001194
0.020000,1.531414,20.820025,0.031559,0.413155,3.177256,-0.021584,0.001619
0.020000,1.540948,20.820043,0.041093,0.476690,3.176745,-0.025563,0.002109
0.020000,1.551752,20.820069,0.051897,0.540213,3.176153,-0.029560,0.002664
0.020000,1.563827,20.820105,0.063971,0.603723,3.175482,-0.033579,0.003284
0.020000,1.577171,20.820153,0.077316,0.667218,3.174729,-0.037645,0.003968
0.020000,1.591785,20.820217,0.091930,0.730695,3.173894,-0.041733,0.004716
0.020000,1.607668,20.820298,0.107813,0.794155,3.172977,-0.045863,0.005528
0.020000,1.624819,20.820400,0.124965,0.857594,3.171976,-0.050034,0.006402
0.020000,1.643239,20.820527,0.143385,0.921012,3.170892,-0.054243,0.007340
0.020000,1.662927,20.820681,0.163073,0.984407,3.169721,-0.058512,0.008341
0.020000,1.683881,20.820867,0.184028,1.047776,3.168465,-0.062818,0.009404
0.020000,1.706103,20.821089,0.206251,1.111118,3.167121,-0.067175,0.010528
0.020000,1.729590,20.821350,0.229739,1.174432,3.165689,-0.071596,0.011714
0.020000,1.754342,20.821655,0.254494,1.237716,3.164168,-0.076066,0.012960
0.020000,1.780359,20.822010,0.280513,1.300967,3.162556,-0.080593,0.014267
0.020000,1.807640,20.822417,0.307797,1.364184,3.160853,-0.085182,0.015633
0.020000,1.836183,20.822884,0.336344,1.427365,3.159056,-0.089832,0.017058
0.020000,1.865989,20.823415,0.366154,1.490508,3.157165,-0.094544,0.018542
0.020000,1.897055,20.824015,0.397226,1.553612,3.155179,-0.099313,0.020083
0.020000,1.929382,20.824690,0.429560,1.616674,3.153096,-0.104160,0.021681
0.020000,1.962967,20.825446,0.463154,1.679692,3.150915,-0.109051,0.023335
0.020000,1.997810,20.826289,0.498007,1.742665,3.148634,-0.114028,0.025045
