dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500131,12.180000,0.000199,0.019900,0.995025,49.751244,6.283175
0.020000,1.501012,12.180000,0.001080,0.044054,1.207666,10.632054,6.283103
0.020000,1.502995,12.180000,0.003063,0.099126,2.753596,77.296525,6.282940
0.020000,1.506299,12.179998,0.006367,0.165224,3.304909,27.565610,6.282670
0.020000,1.510926,12.179995,0.010994,0.231344,3.305987,0.053898,6.282290
0.020000,1.516876,12.179988,0.016944,0.297494,3.307500,0.075668,6.281801
0.020000,1.524150,12.179976,0.024217,0.363683,3.309453,0.097659,6.281203
0.020000,1.532748,12.179956,0.032816,0.429920,3.311852,0.119962,6.280493
0.020000,1.542672,12.179925,0.042740,0.496214,3.314703,0.142530,6.279672
0.020000,1.553924,12.179880,0.053992,0.562574,3.318016,0.165637,6.278738
0.020000,1.566504,12.179818,0.066572,0.629010,3.321798,0.189094,6.277690
0.020000,1.580414,12.179733,0.080482,0.695531,3.326062,0.213227,6.276526
0.020000,1.595657,12.179622,0.095725,0.762148,3.330820,0.237894,6.275245
0.020000,1.612233,12.179479,0.112303,0.828869,3.336087,0.263347,6.273845
0.020000,1.630147,12.179298,0.130217,0.895707,3.341877,0.289513,6.272324
0.020000,1.649399,12.179073,0.149470,0.962671,3.348209,0.316606,6.270680
0.020000,1.669992,12.178797,0.170066,1.029773,3.355102,0.344631,6.268910
0.020000,1.691930,12.178463,0.192006,1.097025,3.362577,0.373729,6.267013
0.020000,1.715216,12.178063,0.215295,1.164438,3.370656,0.403958,6.264985
0.020000,1.739851,12.177588,0.239936,1.232025,3.379364,0.435430,6.262823
0.020000,1.765841,12.177029,0.265932,1.299800,3.388731,0.468314,6.260524
0.020000,1.793189,12.176376,0.293287,1.367775,3.398783,0.502615,6.258085
0.020000,1.821898,12.175618,0.322006,1.435967,3.409554,0.538576,6.255502
0.020000,1.851974,12.174744,0.352094,1.504388,3.421079,0.576232,6.252772
0.020000,1.883419,12.173742,0.383555,1.573056,3.433394,0.615767,6.249889
0.020000,1.916239,12.172599,0.416395,1.641987,3.446541,0.657326,6.246850
0.020000,1.950438,12.171301,0.450619,1.711198,3.460562,0.701071,6.243650
0.020000,1.986022,12.169834,0.486233,1.780708,3.475504,0.747110,6.240284
0.020000,2.022996,12.168181,0.523244,1.850537,3.491419,0.795728,6.236746
0.020000,2.061365,12.166327,0.561658,1.920704,3.508359,0.847010,6.233030
0.020000,2.101135,12.164253,0.601483,1.991231,3.526383,0.901211,6.229131
0.020000,2.142313,12.161940,0.642725,2.062142,3.545554,0.958512,6.225042
0.020000,2.184905,12.159370,0.685395,2.133461,3.565937,1.019158,6.220756
0.020000,2.228917,12.156520,0.729499,2.205213,3.587604,1.083367,6.216266
0.020000,2.274357,12.153367,0.775047,2.277426,3.610632,1.151410,6.211564
0.020000,2.321230,12.149889,0.822050,2.350128,3.635102,1.223502,6.206641
0.020000,2.369546,12.146058,0.870517,2.423350,3.661101,1.299918,6.201490
0.020000,2.419310,12.141849,0.920459,2.497124,3.688721,1.381027,6.196100
0.020000,2.470532,12.137232,0.971889,2.571486,3.718060,1.466959,6.190461
0.020000,2.523220,12.132176,1.024819,2.646470,3.749223,1.558143,6.184563
0.020000,2.577381,12.126649,1.079261,2.722116,3.782320,1.654821,6.178395
0.020000,2.633024,12.120616,1.135230,2.798466,3.817465,1.757255,6.171945
0.020000,2.690158,12.114039,1.192741,2.875561,3.854781,1.865820,6.165200
0.020000,2.748792,12.106880,1.251810,2.953449,3.894395,1.980686,6.158147
0.020000,2.808933,12.099096,1.312454,3.032178,3.936439,2.102190,6.150771
