dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500106,9.820000,0.000199,0.019900,0.995025,49.751244,6.283175
0.020000,1.500817,9.820000,0.000910,0.035548,0.782384,-10.632055,6.283103
0.020000,1.502416,9.820000,0.002510,0.079979,2.221528,71.957210,6.282940
0.020000,1.505082,9.819999,0.005175,0.133284,2.665241,22.185628,6.282670
0.020000,1.508813,9.819996,0.008907,0.186567,2.664163,-0.053895,6.282290
0.020000,1.513610,9.819991,0.013703,0.239820,2.662649,-0.075676,6.281801
0.020000,1.519470,9.819981,0.019564,0.293034,2.660696,-0.097672,6.281203
0.020000,1.526394,9.819965,0.026488,0.346200,2.658297,-0.119927,6.280493
0.020000,1.534381,9.819940,0.034474,0.399309,2.655445,-0.142596,6.279672
0.020000,1.543427,9.819904,0.043521,0.452351,2.652134,-0.165581,6.278738
0.020000,1.553534,9.819854,0.053627,0.505318,2.648350,-0.189159,6.277690
0.020000,1.564697,9.819786,0.064791,0.558200,2.644087,-0.213195,6.276526
0.020000,1.576917,9.819696,0.077011,0.610987,2.639328,-0.237938,6.275245
0.020000,1.590190,9.819582,0.090284,0.663668,2.634061,-0.263323,6.273845
0.020000,1.604514,9.819437,0.104609,0.716233,2.628270,-0.289555,6.272324
0.020000,1.619886,9.819258,0.119982,0.768672,2.621938,-0.316614,6.270680
0.020000,1.636304,9.819038,0.136402,0.820973,2.615045,-0.344655,6.268910
0.020000,1.653765,9.818772,0.153864,0.873124,2.607570,-0.373732,6.267013
0.020000,1.672264,9.818454,0.172367,0.925114,2.599491,-0.403975,6.264985
0.020000,1.691799,9.818077,0.191905,0.976930,2.590781,-0.435480,6.262823
0.020000,1.712365,9.817635,0.212476,1.028558,2.581415,-0.468312,6.260524
0.020000,1.733959,9.817119,0.234076,1.079985,2.571361,-0.502672,6.258085
0.020000,1.756575,9.816522,0.256700,1.131197,2.560590,-0.538589,6.255502
0.020000,1.780209,9.815835,0.280344,1.182178,2.549064,-0.576268,6.252772
0.020000,1.804854,9.815050,0.305002,1.232913,2.536748,-0.615812,6.249889
0.020000,1.830507,9.814157,0.330670,1.283385,2.523601,-0.657371,6.246850
0.020000,1.857159,9.813145,0.357341,1.333577,2.509579,-0.701096,6.243650
0.020000,1.884805,9.812005,0.385010,1.383469,2.494635,-0.747198,6.240284
0.020000,1.913437,9.810726,0.413671,1.433044,2.478719,-0.795770,6.236746
0.020000,1.943048,9.809294,0.443317,1.482279,2.461778,-0.847078,6.233030
0.020000,1.973630,9.807700,0.473940,1.531154,2.443752,-0.901277,6.229131
0.020000,2.005173,9.805929,0.505533,1.579646,2.424580,-0.958599,6.225042
0.020000,2.037668,9.803967,0.538087,1.627730,2.404195,-1.019249,6.220756
0.020000,2.071106,9.801802,0.571595,1.675380,2.382526,-1.083473,6.216266
0.020000,2.105475,9.799418,0.606047,1.722570,2.359496,-1.151500,6.211564
0.020000,2.140763,9.796799,0.641432,1.769271,2.335023,-1.223618,6.206641
0.020000,2.176959,9.793929,0.677741,1.815451,2.309022,-1.300093,6.201490
0.020000,2.214048,9.790792,0.714963,1.861079,2.281399,-1.381136,6.196100
0.020000,2.252016,9.787370,0.753085,1.906120,2.252056,-1.467151,6.190461
0.020000,2.290849,9.783644,0.792096,1.950538,2.220889,-1.558330,6.184563
0.020000,2.330528,9.779595,0.831982,1.994294,2.187789,-1.655011,6.178395
0.020000,2.371038,9.775202,0.872729,2.037347,2.152639,-1.757511,6.171945
0.020000,2.412358,9.770446,0.914322,2.079653,2.115318,-1.866055,6.165200
0.020000,2.454469,9.765305,0.956745,2.121167,2.075698,-1.980992,6.158147
0.020000,2.497348,9.759755,0.999982,2.161840,2.033648,-2.102507,6.150771
0.020000,2.540972,9.753774,1.044014,2.201621,1.989031,-2.230855,6.143058
0.020000,2.585317,9.747337,1.088823,2.240455,1.941707,-2.366180,6.134990
0.020000,2.630354,9.740420,1.134389,2.278285,1.891535,-2.508588,6.126553
0.020000,2.676056,9.732997,1.180690,2.315053,1.838374,-2.658081,6.117726
0.020000,2.722392,9.725041,1.227704,2.350695,1.782083,-2.814516,6.108492
0.020000,2.769329,9.716524,1.275407,2.385145,1.722530,-2.977672,6.098830
0.020000,2.816831,9.707419,1.323774,2.418337,1.659590,-3.146998,6.088718
0.020000,2.864860,9.697696,1.372778,2.450200,1.593153,-3.321851,6.078135
0.020000,2.913378,9.687327,1.422391,2.480663,1.523131,-3.501110,6.067056
0.020000,2.962340,9.676280,1.472584,2.509652,1.449462,-3.683437,6.055457
0.020000,3.011702,9.664526,1.523326,2.537094,1.372125,-3.866841,6.043311
0.020000,3.061415,9.652034,1.574584,2.562917,1.291147,-4.048916,6.030590
0.020000,3.111427,9.638771,1.626325,2.587050,1.206618,-4.226457,6.017267
