dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500106,7.180000,0.000199,0.019900,0.995025,49.751244,0.000011
0.020000,1.500817,7.180000,0.000910,0.035548,0.782384,-10.632055,0.000083
0.020000,1.502416,7.180000,0.002510,0.079979,2.221528,71.957210,0.000245
0.020000,1.505082,7.180001,0.005175,0.133284,2.665241,22.185628,0.000516
0.020000,1.508813,7.180004,0.008907,0.186567,2.664163,-0.053895,0.000895
0.020000,1.513610,7.180009,0.013703,0.239820,2.662649,-0.075676,0.001384
0.020000,1.519470,7.180019,0.019564,0.293034,2.660696,-0.097672,0.001983
0.020000,1.526394,7.180035,0.026488,0.346200,2.658297,-0.119927,0.002692
0.020000,1.534381,7.180060,0.034474,0.399309,2.655445,-0.142596,0.003513
0.020000,1.543427,7.180096,0.043521,0.452351,2.652134,-0.165581,0.004448
0.020000,1.553534,7.180146,0.053627,0.505318,2.648350,-0.189159,0.005496
0.020000,1.564697,7.180214,0.064791,0.558200,2.644087,-0.213195,0.006660
0.020000,1.576917,7.180304,0.077011,0.610987,2.639328,-0.237938,0.007941
0.020000,1.590190,7.180418,0.090284,0.663668,2.634061,-0.263323,0.009341
0.020000,1.604514,7.180563,0.104609,0.716233,2.628270,-0.289555,0.010862
0.020000,1.619886,7.180742,0.119982,0.768672,2.621938,-0.316614,0.012506
0.020000,1.636304,7.180962,0.136402,0.820973,2.615045,-0.344655,0.014275
0.020000,1.653765,7.181228,0.153864,0.873124,2.607570,-0.373732,0.016173
0.020000,1.672264,7.181546,0.172367,0.925114,2.599491,-0.403975,0.018201
0.020000,1.691799,7.181923,0.191905,0.976930,2.590781,-0.435480,0.020363
0.020000,1.712365,7.182365,0.212476,1.028558,2.581415,-0.468312,0.022661
0.020000,1.733959,7.182881,0.234076,1.079985,2.571361,-0.502672,0.025100
0.020000,1.756575,7.183478,0.256700,1.131197,2.560590,-0.538589,0.027683
0.020000,1.780209,7.184165,0.280344,1.182178,2.549064,-0.576268,0.030414
0.020000,1.804854,7.184950,0.305002,1.232913,2.536748,-0.615812,0.033296
0.020000,1.830507,7.185843,0.330670,1.283385,2.523601,-0.657371,0.036335
0.020000,1.857159,7.186855,0.357341,1.333577,2.509579,-0.701096,0.039535
0.020000,1.884805,7.187995,0.385010,1.383469,2.494635,-0.747198,0.042902
0.020000,1.913437,7.189274,0.413671,1.433044,2.478719,-0.795770,0.046440
0.020000,1.943048,7.190706,0.443317,1.482279,2.461778,-0.847078,0.050155
0.020000,1.973630,7.192300,0.473940,1.531154,2.443752,-0.901277,0.054054
0.020000,2.005173,7.194071,0.505533,1.579646,2.424580,-0.958599,0.058143
0.020000,2.037668,7.196033,0.538087,1.627730,2.404195,-1.019249,0.062429
0.020000,2.071106,7.198198,0.571595,1.675380,2.382526,-1.083473,0.066919
0.020000,2.105475,7.200582,0.606047,1.722570,2.359496,-1.151500,0.071621
0.020000,2.140763,7.203201,0.641432,1.769271,2.335023,-1.223618,0.076544
0.020000,2.176959,7.206071,0.677741,1.815451,2.309022,-1.300093,0.081696
0.020000,2.214048,7.209208,0.714963,1.861079,2.281399,-1.381136,0.087086
0.020000,2.252016,7.212630,0.753085,1.906120,2.252056,-1.467151,0.092724
0.020000,2.290849,7.216356,0.792096,1.950538,2.220889,-1.558330,0.098622
0.020000,2.330528,7.220405,0.831982,1.994294,2.187789,-1.655011,0.104790
0.020000,2.371038,7.224798,0.872729,2.037347,2.152639,-1.757511,0.111240
0.020000,2.412358,7.229554,0.914322,2.079653,2.115318,-1.866055,0.117985
0.020000,2.454469,7.234695,0.956745,2.121167,2.075698,-1.980992,0.125039
0.020000,2.497348,7.240245,0.999982,2.161840,2.033648,-2.102507,0.132414
0.020000,2.540972,7.246226,1.044014,2.201621,1.989031,-2.230855,0.140128
0.020000,2.585317,7.252663,1.088823,2.240455,1.941707,-2.366180,0.148195
0.020000,2.630354,7.259580,1.134389,2.278285,1.891535,-2.508588,0.156633
0.020000,2.676056,7.267003,1.180690,2.315053,1.838374,-2.658081,0.165459
0.020000,2.722392,7.274959,1.227704,2.350695,1.782083,-2.814516,0.174693
0.020000,2.769329,7.283476,1.275407,2.385145,1.722530,-2.977672,0.184355
0.020000,2.816831,7.292581,1.323774,2.418337,1.659590,-3.146998,0.194467
0.020000,2.864860,7.302304,1.372778,2.450200,1.593153,-3.321851,0.205050
0.020000,2.913378,7.312673,1.422391,2.480663,1.523131,-3.501110,0.216129
0.020000,2.962340,7.323720,1.472584,2.509652,1.449462,-3.683437,0.227729
0.020000,3.011702,7.335474,1.523326,2.537094,1.372125,-3.866841,0.239875
0.020000,3.061415,7.347966,1.574584,2.562917,1.291147,-4.048916,0.252595
0.020000,3.111427,7.361229,1.626325,2.587050,1.206618,-4.226457,0.265918
0.020000,3.161685,7.375292,1.678514,2.609424,1.118708,-4.395473,0.279874
0.020000,3.212131,7.390189,1.731113,2.629978,1.027688,-4.551022,0.294493
0.020000,3.262705,7.405950,1.784086,2.648657,0.933948,-4.686983,0.309808
0.020000,3.313345,7.422606,1.837395,2.665417,0.838029,-4.795975,0.325850
0.020000,3.363984,7.440189,1.890999,2.680230,0.740645,-4.869192,0.342653
0.020000,3.414554,7.458728,1.944861,2.693084,0.642721,-4.896173,0.360250
0.020000,3.464986,7.478254,1.998941,2.703993,0.545426,-4.864791,0.378674
0.020000,3.515208,7.498795,2.053201,2.712997,0.450201,-4.761210,0.397957
0.020000,3.565146,7.520380,2.107604,2.720173,0.358805,-4.569822,0.418130
0.020000,3.614605,7.542977,2.161981,2.718854,-0.065944,-21.237450,0.439169
0.020000,3.663281,7.566491,2.216039,2.702880,-0.798724,-36.638991,0.460985
0.020000,3.710896,7.590806,2.269503,2.673201,-1.483948,-34.261219,0.483472
0.020000,3.757312,7.615860,2.322249,2.637314,-1.794362,-15.520688,0.506567
0.020000,3.802521,7.641645,2.374295,2.602281,-1.751622,2.137003,0.530257
0.020000,3.846519,7.668157,2.425663,2.568401,-1.693988,2.881679,0.554520
0.020000,3.889306,7.695393,2.476383,2.535989,-1.620628,3.668041,0.579333
0.020000,3.930888,7.723351,2.526490,2.505370,-1.530961,4.483338,0.604664
