dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500131,4.820000,0.000199,0.019900,0.995025,49.751244,0.000011
0.020000,1.501012,4.820000,0.001080,0.044054,1.207666,10.632054,0.000083
0.020000,1.502995,4.820000,0.003063,0.099126,2.753596,77.296525,0.000245
0.020000,1.506299,4.820002,0.006367,0.165224,3.304909,27.565610,0.000516
0.020000,1.510926,4.820005,0.010994,0.231344,3.305987,0.053898,0.000895
0.020000,1.516876,4.820012,0.016944,0.297494,3.307500,0.075668,0.001384
0.020000,1.524150,4.820024,0.024217,0.363683,3.309453,0.097659,0.001983
0.020000,1.532748,4.820044,0.032816,0.429920,3.311852,0.119962,0.002692
0.020000,1.542672,4.820075,0.042740,0.496214,3.314703,0.142530,0.003513
0.020000,1.553924,4.820120,0.053992,0.562574,3.318016,0.165637,0.004448
0.020000,1.566504,4.820182,0.066572,0.629010,3.321798,0.189094,0.005496
0.020000,1.580414,4.820267,0.080482,0.695531,3.326062,0.213227,0.006660
0.020000,1.595657,4.820378,0.095725,0.762148,3.330820,0.237894,0.007941
0.020000,1.612233,4.820521,0.112303,0.828869,3.336087,0.263347,0.009341
0.020000,1.630147,4.820702,0.130217,0.895707,3.341877,0.289513,0.010862
0.020000,1.649399,4.820927,0.149470,0.962671,3.348209,0.316606,0.012506
0.020000,1.669992,4.821203,0.170066,1.029773,3.355102,0.344631,0.014275
0.020000,1.691930,4.821537,0.192006,1.097025,3.362577,0.373729,0.016173
0.020000,1.715216,4.821937,0.215295,1.164438,3.370656,0.403958,0.018201
0.020000,1.739851,4.822412,0.239936,1.232025,3.379364,0.435430,0.020363
0.020000,1.765841,4.822971,0.265932,1.299800,3.388731,0.468314,0.022661
0.020000,1.793189,4.823624,0.293287,1.367775,3.398783,0.502615,0.025100
0.020000,1.821898,4.824382,0.322006,1.435967,3.409554,0.538576,0.027683
0.020000,1.851974,4.825256,0.352094,1.504388,3.421079,0.576232,0.030414
0.020000,1.883419,4.826258,0.383555,1.573056,3.433394,0.615767,0.033296
0.020000,1.916239,4.827401,0.416395,1.641987,3.446541,0.657326,0.036335
0.020000,1.950438,4.828699,0.450619,1.711198,3.460562,0.701071,0.039535
0.020000,1.986022,4.830166,0.486233,1.780708,3.475504,0.747110,0.042902
0.020000,2.022996,4.831819,0.523244,1.850537,3.491419,0.795728,0.046440
0.020000,2.061365,4.833673,0.561658,1.920704,3.508359,0.847010,0.050155
0.020000,2.101135,4.835747,0.601483,1.991231,3.526383,0.901211,0.054054
0.020000,2.142313,4.838060,0.642725,2.062142,3.545554,0.958512,0.058143
0.020000,2.184905,4.840630,0.685395,2.133461,3.565937,1.019158,0.062429
0.020000,2.228917,4.843480,0.729499,2.205213,3.587604,1.083367,0.066919
0.020000,2.274357,4.846633,0.775047,2.277426,3.610632,1.151410,0.071621
0.020000,2.321230,4.850111,0.822050,2.350128,3.635102,1.223502,0.076544
0.020000,2.369546,4.853942,0.870517,2.423350,3.661101,1.299918,0.081696
0.020000,2.419310,4.858151,0.920459,2.497124,3.688721,1.381027,0.087086
0.020000,2.470532,4.862768,0.971889,2.571486,3.718060,1.466959,0.092724
0.020000,2.523220,4.867824,1.024819,2.646470,3.749223,1.558143,0.098622
0.020000,2.577381,4.873351,1.079261,2.722116,3.782320,1.654821,0.104790
0.020000,2.633024,4.879384,1.135230,2.798466,3.817465,1.757255,0.111240
0.020000,2.690158,4.885961,1.192741,2.875561,3.854781,1.865820,0.117985
0.020000,2.748792,4.893120,1.251810,2.953449,3.894395,1.980686,0.125039
0.020000,2.808933,4.900904,1.312454,3.032178,3.936439,2.102190,0.132414
0.020000,2.870593,4.909358,1.374690,3.111799,3.981049,2.230492,0.140128
0.020000,2.933778,4.918530,1.438537,3.192366,4.028364,2.365783,0.148195
0.020000,2.998498,4.928470,1.504016,3.273937,4.078527,2.508140,0.156633
0.020000,3.064760,4.939234,1.571147,3.356570,4.131678,2.657566,0.165459
0.020000,3.132574,4.950879,1.639954,3.440330,4.187958,2.813977,0.174693
0.020000,3.201947,4.963467,1.710460,3.525280,4.247498,2.977017,0.184355
0.020000,3.272885,4.977065,1.782689,3.611488,4.310425,3.146321,0.194467
0.020000,3.345395,4.991744,1.856670,3.699025,4.376846,3.321043,0.205050
0.020000,3.419481,5.007579,1.932429,3.787962,4.446851,3.500264,0.216129
0.020000,3.495146,5.024651,2.009997,3.878372,4.520499,3.682427,0.227729
0.020000,3.572393,5.043046,2.089403,3.970328,4.597815,3.865764,0.239875
0.020000,3.651220,5.062856,2.170681,4.063904,4.678769,4.047693,0.252595
0.020000,3.731624,5.084179,2.253865,4.159169,4.763271,4.225099,0.265918
0.020000,3.813598,5.107119,2.338988,4.256192,4.851150,4.393984,0.279874
0.020000,3.897132,5.131788,2.426089,4.355035,4.942137,4.549344,0.294493
0.020000,3.982211,5.158304,2.515204,4.455752,5.035840,4.685132,0.309808
0.020000,4.068814,5.186792,2.606372,4.558386,5.131719,4.793964,0.325850
0.020000,4.156913,5.217384,2.699631,4.662967,5.229058,4.866956,0.342653
0.020000,4.246473,5.250220,2.795021,4.769506,5.326933,4.893736,0.360250
0.020000,4.337451,5.285447,2.892581,4.877989,5.424176,4.862180,0.378674
0.020000,4.429792,5.323218,2.992349,4.988376,5.519344,4.758354,0.397957
0.020000,4.523430,5.363694,3.094360,5.100590,5.610679,4.566793,0.418130
0.020000,4.618048,5.406929,3.198388,5.201398,5.040396,-28.514182,0.439169
0.020000,4.713081,5.452840,3.303930,5.277062,3.783190,-62.860288,0.460985
0.020000,4.807956,5.501295,3.410462,5.326631,2.478457,-65.236626,0.483472
0.020000,4.902334,5.552240,3.517712,5.362509,1.793900,-34.227875,0.506567
0.020000,4.996102,5.605727,3.625663,5.397532,1.751159,-2.137051,0.530257
0.020000,5.089142,5.661795,3.734291,5.431402,1.693529,-2.881477,0.554520
0.020000,5.181324,5.720478,3.843567,5.463806,1.620178,-3.667559,0.579333
0.020000,5.272514,5.781795,3.953456,5.494417,1.530527,-4.482563,0.604664
0.020000,5.362571,5.845754,4.063914,5.522903,1.424313,-5.310707,0.630479
0.020000,5.451349,5.912349,4.174892,5.548936,1.301643,-6.133515,0.656734
0.020000,5.538699,5.981557,4.286336,5.572196,1.163038,-6.930236,0.683385
0.020000,5.624470,6.053342,4.398184,5.592386,1.009464,-7.678691,0.710377
0.020000,5.708514,6.127652,4.510369,5.609232,0.842340,-8.356191,0.737655
0.020000,5.790686,6.204417,4.622819,5.622503,0.663525,-8.940766,0.765158
0.020000,5.870844,6.283553,4.735459,5.632009,0.475278,-9.412353,0.792822
0.020000,5.948856,6.364961,4.848211,5.637612,0.280196,-9.754068,0.820582
0.020000,6.024598,6.448528,4.960996,5.639235,0.081130,-9.953310,0.848368
0.020000,6.097960,6.534130,5.073733,5.636857,-0.118921,-10.002581,0.876115
0.020000,6.168843,6.621633,5.186343,5.630518,-0.316923,-9.900062,0.903754
0.020000,6.237165,6.710893,5.298750,5.620320,-0.509917,-9.649717,0.931220
0.020000,6.302857,6.801763,5.410878,5.606417,-0.695137,-9.261009,0.958450
0.020000,6.365867,6.894091,5.522658,5.589015,-0.870101,-8.748191,0.985385
0.020000,6.426161,6.987725,5.634026,5.568361,-1.032691,-8.129519,1.011971
0.020000,6.483718,7.082513,5.744920,5.544737,-1.181208,-7.425815,1.038155
0.020000,6.538533,7.178308,5.855289,5.518449,-1.314397,-6.659484,1.063894
0.020000,6.590617,7.274964,5.965086,5.489820,-1.431459,-5.853095,1.089148
0.020000,6.639992,7.372346,6.074269,5.459179,-1.532026,-5.028359,1.113882
0.020000,6.686692,7.470323,6.182806,5.426857,-1.616132,-4.205260,1.138068
0.020000,6.730761,7.568773,6.290670,5.393174,-1.684157,-3.401274,1.161684
