dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500129,7.180000,0.000199,0.019900,0.995025,49.751244,6.283169
0.020000,1.501065,7.180000,0.001135,0.046804,1.345179,17.507711,6.283050
0.020000,1.503171,7.179999,0.003241,0.105307,2.925135,78.997791,6.282783
0.020000,1.506681,7.179997,0.006751,0.175504,3.509856,29.236038,6.282338
0.020000,1.511595,7.179991,0.011665,0.245690,3.509297,-0.027910,6.281716
0.020000,1.517912,7.179980,0.017982,0.315860,3.508512,-0.039295,6.280916
0.020000,1.525632,7.179958,0.025702,0.386010,3.507492,-0.050967,6.279939
0.020000,1.534755,7.179923,0.034825,0.456135,3.506234,-0.062928,6.278785
0.020000,1.545279,7.179870,0.045350,0.526229,3.504728,-0.075291,6.277455
0.020000,1.557205,7.179793,0.057276,0.596288,3.502966,-0.088097,6.275949
0.020000,1.570530,7.179685,0.070602,0.666307,3.500938,-0.101407,6.274269
0.020000,1.585255,7.179540,0.085327,0.736280,3.498631,-0.115337,6.272414
0.020000,1.601378,7.179350,0.101451,0.806201,3.496034,-0.129870,6.270387
0.020000,1.618898,7.179107,0.118973,0.876063,3.493131,-0.145128,6.268187
0.020000,1.637812,7.178801,0.137890,0.945861,3.489908,-0.161135,6.265816
0.020000,1.658121,7.178422,0.158202,1.015588,3.486349,-0.177972,6.263275
0.020000,1.679820,7.177960,0.179906,1.085237,3.482436,-0.195650,6.260565
0.020000,1.702910,7.177405,0.203002,1.154800,3.478151,-0.214257,6.257688
0.020000,1.727386,7.176743,0.227488,1.224270,3.473475,-0.233808,6.254646
0.020000,1.753247,7.175964,0.253360,1.293637,3.468388,-0.254348,6.251440
0.020000,1.780490,7.175053,0.280618,1.362895,3.462869,-0.275919,6.248072
0.020000,1.809111,7.173997,0.309259,1.432033,3.456899,-0.298519,6.244544
0.020000,1.839107,7.172781,0.339280,1.501042,3.450455,-0.322210,6.240858
0.020000,1.870475,7.171393,0.370678,1.569912,3.443515,-0.346973,6.237017
0.020000,1.903209,7.169815,0.403451,1.638633,3.436059,-0.372814,6.233023
0.020000,1.937307,7.168032,0.437595,1.707194,3.428064,-0.399754,6.228879
0.020000,1.972762,7.166028,0.473106,1.775585,3.419508,-0.427773,6.224587
0.020000,2.009570,7.163787,0.509982,1.843792,3.410372,-0.456829,6.220152
0.020000,2.047724,7.161291,0.548218,1.911805,3.400633,-0.486940,6.215575
0.020000,2.087219,7.158523,0.587810,1.979610,3.390273,-0.518024,6.210861
0.020000,2.128049,7.155465,0.628754,2.047196,3.379271,-0.550073,6.206014
0.020000,2.170206,7.152100,0.671045,2.114548,3.367611,-0.582999,6.201037
0.020000,2.213682,7.148408,0.714678,2.181653,3.355276,-0.616761,6.195934
0.020000,2.258471,7.144373,0.759648,2.248498,3.342251,-0.651265,6.190710
0.020000,2.304563,7.139974,0.805950,2.315069,3.328522,-0.686439,6.185370
0.020000,2.351949,7.135193,0.853577,2.381350,3.314078,-0.722183,6.179918
0.020000,2.400621,7.130012,0.902523,2.447329,3.298910,-0.758391,6.174360
0.020000,2.450568,7.124412,0.952783,2.512989,3.283011,-0.794958,6.168701
0.020000,2.501779,7.118373,1.004349,2.578316,3.266376,-0.831763,6.162946
0.020000,2.554245,7.111879,1.057215,2.643296,3.249003,-0.868670,6.157103
0.020000,2.607953,7.104909,1.111374,2.707914,3.230891,-0.905566,6.151175
0.020000,2.662891,7.097446,1.166817,2.772155,3.212045,-0.942300,6.145171
0.020000,2.719048,7.089472,1.223537,2.836005,3.192471,-0.978736,6.139096
0.020000,2.776410,7.080968,1.281526,2.899448,3.172176,-1.014736,6.132959
0.020000,2.834964,7.071919,1.340775,2.962471,3.151173,-1.050160,6.126764
0.020000,2.894697,7.062307,1.401276,3.025061,3.129475,-1.084864,6.120521
0.020000,2.955594,7.052116,1.463020,3.087203,3.107101,-1.118713,6.114236
0.020000,3.017642,7.041330,1.525998,3.148884,3.084069,-1.151581,6.107918
0.020000,3.080824,7.029934,1.590200,3.210092,3.060403,-1.183338,6.101575
0.020000,3.145126,7.017914,1.655616,3.270815,3.036125,-1.213872,6.095214
0.020000,3.210534,7.005256,1.722237,3.331040,3.011264,-1.243083,6.088844
0.020000,3.277030,6.991947,1.790052,3.390757,2.985846,-1.270872,6.082474
0.020000,3.344600,6.977975,1.859051,3.449955,2.959903,-1.297171,6.076112
0.020000,3.413227,6.963329,1.929224,3.508625,2.933464,-1.321911,6.069768
0.020000,3.482895,6.947999,2.000559,3.566756,2.906563,-1.345055,6.063451
0.020000,3.553589,6.931976,2.073046,3.624340,2.879232,-1.366573,6.057169
0.020000,3.625292,6.915252,2.146673,3.681370,2.851503,-1.386462,6.050933
0.020000,3.697988,6.897820,2.221430,3.737839,2.823408,-1.404735,6.044751
0.020000,3.771660,6.879673,2.297305,3.793738,2.794979,-1.421428,6.038634
0.020000,3.846294,6.860808,2.374286,3.849063,2.766248,-1.436596,6.032591
0.020000,3.921873,6.841220,2.452362,3.903808,2.737241,-1.450319,6.026632
0.020000,3.998382,6.820908,2.531521,3.957968,2.707987,-1.462691,6.020767
0.020000,4.075806,6.799870,2.611752,4.011538,2.678511,-1.473836,6.015006
0.020000,4.154129,6.778108,2.693043,4.064515,2.648833,-1.483887,6.009359
0.020000,4.233337,6.755622,2.775380,4.116894,2.618973,-1.493003,6.003836
0.020000,4.313416,6.732416,2.858754,4.168673,2.588946,-1.501357,5.998447
0.020000,4.394352,6.708495,2.943151,4.219848,2.558763,-1.509140,5.993203
