dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500127,7.180000,0.000199,0.019900,0.995025,49.751244,6.283165
0.020000,1.501109,7.180000,0.001180,0.049053,1.457629,23.130209,6.283008
0.020000,1.503316,7.179999,0.003387,0.110369,3.065816,80.409334,6.282655
0.020000,1.506995,7.179996,0.007066,0.183949,3.678975,30.657958,6.282067
0.020000,1.512145,7.179988,0.012217,0.257528,3.678962,-0.000657,6.281244
0.020000,1.518768,7.179972,0.018839,0.331107,3.678935,-0.001357,6.280185
0.020000,1.526861,7.179942,0.026933,0.404684,3.678882,-0.002644,6.278892
0.020000,1.536426,7.179894,0.036498,0.478260,3.678792,-0.004478,6.277363
0.020000,1.547463,7.179820,0.047535,0.551833,3.678649,-0.007168,6.275599
0.020000,1.559970,7.179713,0.060043,0.625402,3.678434,-0.010736,6.273600
0.020000,1.573949,7.179563,0.074022,0.698964,3.678127,-0.015369,6.271366
0.020000,1.589398,7.179361,0.089472,0.772519,3.677702,-0.021244,6.268897
0.020000,1.606317,7.179097,0.106394,0.846061,3.677132,-0.028490,6.266194
0.020000,1.624706,7.178757,0.124785,0.919589,3.676388,-0.037203,6.263257
0.020000,1.644563,7.178330,0.144647,0.993098,3.675436,-0.047619,6.260085
0.020000,1.665888,7.177801,0.165979,1.066582,3.674239,-0.059809,6.256680
0.020000,1.688680,7.177155,0.188780,1.140038,3.672760,-0.073965,6.253041
0.020000,1.712936,7.176377,0.213049,1.213457,3.670955,-0.090241,6.249170
0.020000,1.738656,7.175449,0.238786,1.286832,3.668781,-0.108727,6.245068
0.020000,1.765837,7.174353,0.265989,1.360156,3.666189,-0.129592,6.240734
0.020000,1.794477,7.173071,0.294657,1.433419,3.663129,-0.152999,6.236171
0.020000,1.824572,7.171583,0.324789,1.506610,3.659548,-0.179035,6.231379
0.020000,1.856120,7.169868,0.356384,1.579718,3.655392,-0.207823,6.226359
0.020000,1.889116,7.167904,0.389438,1.652730,3.650603,-0.239466,6.221115
0.020000,1.923557,7.165669,0.423951,1.725632,3.645120,-0.274113,6.215646
0.020000,1.959436,7.163139,0.459919,1.798410,3.638885,-0.311750,6.209956
0.020000,1.996748,7.160291,0.497340,1.871046,3.631834,-0.352554,6.204046
0.020000,2.035487,7.157099,0.536210,1.943524,3.623905,-0.396445,6.197920
0.020000,2.075646,7.153538,0.576527,2.015825,3.615034,-0.443583,6.191580
0.020000,2.117217,7.149582,0.618285,2.087928,3.605157,-0.493826,6.185031
0.020000,2.160191,7.145204,0.661482,2.159813,3.594212,-0.547249,6.178274
0.020000,2.204558,7.140376,0.706111,2.231455,3.582137,-0.603744,6.171316
0.020000,2.250308,7.135070,0.752167,2.302833,3.568873,-0.663220,6.164159
0.020000,2.297429,7.129259,0.799646,2.373920,3.554361,-0.725577,6.156809
0.020000,2.345910,7.122914,0.848540,2.444691,3.538549,-0.790592,6.149272
0.020000,2.395735,7.116005,0.898842,2.515119,3.521386,-0.858151,6.141553
0.020000,2.446892,7.108505,0.950546,2.585175,3.502828,-0.927925,6.133659
0.020000,2.499364,7.100383,1.003642,2.654832,3.482834,-0.999696,6.125595
0.020000,2.553134,7.091611,1.058123,2.724059,3.461372,-1.073106,6.117370
