dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.253574,3.268000,0.003731,0.149242,2.984848,59.696970,0.000000
0.050000,1.264767,3.268000,0.014924,0.223864,1.492424,-29.848485,0.000000
0.050000,1.283422,3.268000,0.033580,0.373106,2.984848,29.848485,0.000000
0.050000,1.309539,3.268000,0.059697,0.522348,2.984848,0.000000,0.000000
0.050000,1.343119,3.268000,0.093277,0.671591,2.984848,0.000000,0.000000
0.050000,1.384161,3.268000,0.134318,0.820833,2.984848,-0.000000,0.000000
0.050000,1.432664,3.268000,0.182822,0.970076,2.984848,-0.000000,0.000000
0.050000,1.488630,3.268000,0.238788,1.119318,2.984848,-0.000000,0.000000
0.050000,1.552058,3.268000,0.302216,1.268561,2.984848,0.000000,0.000000
0.050000,1.622949,3.268000,0.373106,1.417803,2.984848,0.000000,0.000000
0.050000,1.701301,3.268000,0.451458,1.567045,2.984848,-0.000000,0.000000
0.050000,1.787115,3.268000,0.537273,1.716288,2.984848,-0.000000,0.000000
0.050000,1.880392,3.268000,0.630549,1.865530,2.984848,-0.000000,0.000000
0.050000,1.981130,3.268000,0.731288,2.014773,2.984848,0.000000,0.000000
0.050000,2.089331,3.268000,0.839489,2.164015,2.984848,0.000000,0.000000
0.050000,2.204994,3.268000,0.955152,2.313258,2.984848,-0.000000,0.000000
0.050000,2.328119,3.268000,1.078277,2.462500,2.984848,0.000000,0.000000
0.050000,2.458706,3.268000,1.208864,2.611742,2.984848,-0.000000,0.000000
0.050000,2.596755,3.268000,1.346913,2.760985,2.984848,-0.000000,0.000000
0.050000,2.742267,3.268000,1.492424,2.910227,2.984848,-0.000000,0.000000
0.050000,2.895240,3.268000,1.645398,3.059470,2.984848,0.000000,0.000000
0.050000,3.055676,3.268000,1.805833,3.208712,2.984848,-0.000000,0.000000
0.050000,3.223574,3.268000,1.973731,3.357955,2.984848,-0.000000,0.000000
0.050000,3.398933,3.268000,2.149091,3.507197,2.984848,-0.000000,0.000000
0.050000,3.581755,3.268000,2.331913,3.656439,2.984848,0.000000,0.000000
0.050000,3.772039,3.268000,2.522197,3.805682,2.984848,-0.000000,0.000000
0.050000,3.969786,3.268000,2.719943,3.954924,2.984848,-0.000000,0.000000
0.050000,4.174994,3.268000,2.925152,4.104167,2.984848,-0.000000,0.000000
0.050000,4.387664,3.268000,3.137822,4.253409,2.984848,0.000000,0.000000
0.050000,4.607797,3.268000,3.357955,4.402652,2.984848,-0.000000,0.000000
0.050000,4.835392,3.268000,3.585549,4.551894,2.984848,0.000000,0.000000
0.050000,5.070449,3.268000,3.820606,4.701136,2.984848,-0.000000,0.000000
0.050000,5.312967,3.268000,4.063125,4.850379,2.984848,0.000000,0.000000
0.050000,5.562949,3.268000,4.313106,4.999621,2.984848,0.000000,0.000000
0.050000,5.820392,3.268000,4.570549,5.148864,2.984848,-0.000000,0.000000
0.050000,6.085297,3.268000,4.835455,5.298106,2.984848,-0.000000,0.000000
0.050000,6.357664,3.268000,5.107822,5.447348,2.984848,0.000000,0.000000
0.050000,6.637494,3.268000,5.387652,5.596591,2.984848,0.000000,0.000000
0.050000,6.924786,3.268000,5.674943,5.745833,2.984848,-0.000000,0.000000
0.050000,7.219539,3.268000,5.969697,5.895076,2.984848,0.000000,0.000000
0.050000,7.521755,3.268000,6.271913,6.044318,2.984848,0.000000,0.000000
0.050000,7.831433,3.268000,6.581591,6.193561,2.984848,-0.000000,0.000000
0.050000,8.148574,3.268000,6.898731,6.342803,2.984848,0.000000,0.000000
0.050000,8.473176,3.268000,7.223333,6.492045,2.984848,-0.000000,0.000000
0.050000,8.805240,3.268000,7.555398,6.641288,2.984848,0.000000,0.000000
0.050000,9.144767,3.268000,7.894924,6.790530,2.984848,0.000000,0.000000
0.050000,9.491755,3.268000,8.241913,6.939773,2.984848,0.000000,0.000000
0.050000,9.846206,3.268000,8.596364,7.089015,2.984848,-0.000000,0.000000
0.050000,10.208119,3.268000,8.958277,7.238258,2.984848,0.000000,0.000000
0.050000,10.577494,3.268000,9.327652,7.387500,2.984848,-0.000000,0.000000
0.050000,10.954331,3.268000,9.704489,7.536742,2.984848,-0.000000,0.000000
0.050000,11.338630,3.268000,10.088788,7.685985,2.984848,0.000000,0.000000
0.050000,11.730392,3.268000,10.480549,7.835227,2.984848,0.000000,0.000000
0.050000,12.129615,3.268000,10.879773,7.984470,2.984848,-0.000000,0.000000
0.050000,12.536301,3.268000,11.286458,8.133712,2.984848,0.000000,0.000000
0.050000,12.950449,3.268000,11.700606,8.282955,2.984848,-0.000000,0.000000
0.050000,13.372058,3.268000,12.122216,8.432197,2.984848,0.000000,0.000000
0.050000,13.801130,3.268000,12.551288,8.581439,2.984848,0.000000,0.000000
0.050000,14.237664,3.268000,12.987822,8.730682,2.984848,-0.000000,0.000000
0.050000,14.681661,3.268000,13.431818,8.879924,2.984848,-0.000000,0.000000
0.050000,15.133119,3.268000,13.883277,9.029167,2.984848,0.000000,0.000000
0.050000,15.592039,3.268000,14.342197,9.178409,2.984848,0.000000,0.000000
0.050000,16.058422,3.268000,14.808580,9.327652,2.984848,-0.000000,0.000000
0.050000,16.532267,3.268000,15.282424,9.476894,2.984848,0.000000,0.000000
0.050000,17.015168,3.268017,15.765325,9.658021,3.622540,12.753828,0.002260
0.050000,17.571366,3.294260,16.322143,11.136346,29.566509,518.879375,0.095498
0.050000,18.145962,3.383592,16.903641,11.629963,9.872333,-393.883520,0.217573
0.050000,18.727930,3.559959,17.511746,12.162106,10.642866,15.410663,0.376378
0.050000,19.295088,3.850580,18.149029,12.745650,11.670880,20.560286,0.575614
0.050000,19.802898,4.268323,18.806585,13.151129,8.109572,-71.226153,0.803047
0.050000,20.201836,4.788661,19.462255,13.113397,-0.754637,-177.284189,1.027853
0.050000,20.473587,5.360407,20.095297,12.660851,-9.050920,-165.925651,1.221202
0.050000,20.634931,5.942176,20.699025,12.074545,-11.726130,-53.504199,1.373955
0.050000,20.713302,6.514815,21.277001,11.559536,-10.300175,28.519097,1.491178
0.050000,20.732000,7.064957,21.827461,11.009192,-11.006882,-14.134138,1.570796
0.050000,20.732000,7.557457,22.319961,9.850000,-23.183836,-243.539081,1.570796
0.050000,20.732000,8.049957,22.812461,9.850000,-0.000000,463.676713,1.570796
0.050000,20.732000,8.542457,23.304961,9.850000,0.000000,0.000000,1.570796
0.050000,20.732000,9.034957,23.797461,9.850000,-0.000000,-0.000000,1.570796
0.050000,20.732000,9.527457,24.289961,9.850000,-0.000000,-0.000000,1.570796
