dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.625115,13.500500,0.000199,0.019919,0.995935,49.796748,0.000014
0.020000,1.625824,13.500500,0.000909,0.035473,0.777734,-10.910072,0.000101
0.020000,1.627420,13.500500,0.002505,0.079810,2.216818,71.954222,0.000298
0.020000,1.630080,13.500502,0.005165,0.133000,2.659500,22.134080,0.000625
0.020000,1.633804,13.500505,0.008888,0.186165,2.658260,-0.061973,0.001085
0.020000,1.638590,13.500511,0.013674,0.239295,2.656518,-0.087082,0.001677
0.020000,1.644437,13.500523,0.019522,0.292381,2.654270,-0.112429,0.002402
0.020000,1.651345,13.500543,0.026430,0.345411,2.651506,-0.138196,0.003261
0.020000,1.659313,13.500573,0.034397,0.398375,2.648218,-0.164404,0.004257
0.020000,1.668338,13.500616,0.043423,0.451263,2.644395,-0.191162,0.005390
0.020000,1.678419,13.500677,0.053504,0.504064,2.640023,-0.218577,0.006661
0.020000,1.689554,13.500759,0.064639,0.556765,2.635088,-0.246742,0.008074
0.020000,1.701741,13.500867,0.076826,0.609357,2.629574,-0.275710,0.009630
0.020000,1.714977,13.501006,0.090063,0.661826,2.623460,-0.305684,0.011332
0.020000,1.729259,13.501181,0.104346,0.714161,2.616727,-0.336679,0.013182
0.020000,1.744584,13.501398,0.119673,0.766348,2.609350,-0.368836,0.015183
0.020000,1.760949,13.501664,0.136041,0.818374,2.601303,-0.402339,0.017339
0.020000,1.778351,13.501986,0.153445,0.870225,2.592559,-0.437212,0.019653
0.020000,1.796785,13.502371,0.171883,0.921886,2.583086,-0.473676,0.022128
0.020000,1.816246,13.502828,0.191350,0.973343,2.572849,-0.511834,0.024770
0.020000,1.836731,13.503364,0.211841,1.024580,2.561812,-0.551846,0.027582
0.020000,1.858233,13.503989,0.233353,1.075578,2.549934,-0.593900,0.030569
0.020000,1.880748,13.504713,0.255879,1.126322,2.537172,-0.638123,0.033736
0.020000,1.904269,13.505546,0.279415,1.176791,2.523477,-0.684749,0.037089
0.020000,1.928790,13.506500,0.303954,1.226967,2.508798,-0.733921,0.040633
0.020000,1.954303,13.507585,0.329491,1.276829,2.493080,-0.785909,0.044375
0.020000,1.980802,13.508814,0.356018,1.326354,2.476262,-0.840886,0.048321
0.020000,2.008277,13.510199,0.383528,1.375520,2.458280,-0.899102,0.052480
0.020000,2.036721,13.511756,0.412014,1.424301,2.439064,-0.960825,0.056857
0.020000,2.066123,13.513497,0.441468,1.472672,2.418538,-1.026300,0.061462
0.020000,2.096473,13.515438,0.471880,1.520604,2.396622,-1.095803,0.066304
0.020000,2.127760,13.517595,0.503241,1.568069,2.373229,-1.169649,0.071391
0.020000,2.159972,13.519985,0.535542,1.615034,2.348266,-1.248129,0.076734
0.020000,2.193096,13.522625,0.568771,1.661467,2.321635,-1.331548,0.082344
0.020000,2.227119,13.525533,0.602918,1.707331,2.293229,-1.420294,0.088231
0.020000,2.262025,13.528730,0.637970,1.752590,2.262936,-1.514645,0.094407
0.020000,2.297798,13.532233,0.673914,1.797203,2.230637,-1.614963,0.100887
0.020000,2.334420,13.536066,0.710736,1.841127,2.196205,-1.721610,0.107683
0.020000,2.371874,13.540249,0.748423,1.884317,2.159507,-1.834904,0.114810
0.020000,2.410138,13.544806,0.786957,1.926725,2.120403,-1.955165,0.122284
0.020000,2.449191,13.549760,0.826323,1.968300,2.078750,-2.082695,0.130121
0.020000,2.489009,13.555137,0.866503,2.008988,2.034395,-2.217723,0.138339
0.020000,2.529568,13.560961,0.907478,2.048732,1.987186,-2.360440,0.146958
0.020000,2.570839,13.567260,0.949227,2.087471,1.936967,-2.510959,0.155996
0.020000,2.612794,13.574061,0.991730,2.125143,1.883583,-2.669219,0.165477
0.020000,2.655402,13.581394,1.034964,2.161680,1.826881,-2.835075,0.175421
0.020000,2.698627,13.589287,1.078904,2.197015,1.766719,-3.008109,0.185853
0.020000,2.742435,13.597771,1.123525,2.231074,1.702965,-3.187705,0.196799
0.020000,2.786785,13.606877,1.168801,2.263784,1.635508,-3.372843,0.208286
0.020000,2.831637,13.616637,1.214702,2.295070,1.564265,-3.562146,0.220341
0.020000,2.876945,13.627085,1.261199,2.324853,1.489192,-3.753647,0.232996
0.020000,2.922662,13.638253,1.308261,2.353059,1.410296,-3.944814,0.246282
0.020000,2.968736,13.650176,1.355853,2.379612,1.327651,-4.132230,0.260231
0.020000,3.015115,13.662887,1.403942,2.404441,1.241419,-4.311626,0.274878
0.020000,3.061740,13.676421,1.452491,2.427478,1.151869,-4.477512,0.290259
0.020000,3.108551,13.690814,1.501465,2.448666,1.059407,-4.623105,0.306412
0.020000,3.155484,13.706098,1.550824,2.467958,0.964604,-4.740137,0.323373
0.020000,3.202472,13.722309,1.600530,2.485323,0.868235,-4.818443,0.341181
0.020000,3.249447,13.739481,1.650545,2.500749,0.771313,-4.846082,0.359876
0.020000,3.296336,13.757647,1.700830,2.514252,0.675134,-4.808946,0.379495
0.020000,3.343066,13.776839,1.751348,2.525878,0.581318,-4.690823,0.400076
0.020000,3.389561,13.797091,1.802062,2.535715,0.491849,-4.473461,0.421654
0.020000,3.435746,13.818434,1.852940,2.543898,0.409112,-4.136848,0.444264
0.020000,3.481546,13.840898,1.903952,2.550616,0.335917,-3.659732,0.467934
0.020000,3.526886,13.864516,1.955075,2.556126,0.275505,-3.020588,0.492688
0.020000,3.571695,13.889317,2.006290,2.560756,0.231527,-2.198936,0.518544
0.020000,3.615905,13.915336,2.057588,2.564916,0.207985,-1.177097,0.545511
0.020000,3.659454,13.942606,2.108970,2.569099,0.209132,0.057344,0.573589
0.020000,3.702283,13.971165,2.160448,2.573885,0.239310,1.508933,0.602765
0.020000,3.744344,14.001053,2.212047,2.579940,0.302734,3.171214,0.633015
0.020000,3.785594,14.032319,2.263807,2.588004,0.403211,5.023828,0.664298
0.020000,3.825998,14.065017,2.315784,2.598880,0.543811,7.029999,0.696559
0.020000,3.865531,14.099210,2.368053,2.613410,0.726514,9.135141,0.729723
0.020000,3.904173,14.134969,2.420702,2.632448,0.951856,11.267088,0.763700
0.020000,3.941910,14.172377,2.473838,2.656820,1.218627,13.338551,0.798386
0.020000,3.978733,14.211526,2.527584,2.687293,1.523667,15.252024,0.833656
0.020000,4.014633,14.252519,2.582074,2.724530,1.861808,16.907041,0.869376
0.020000,4.049602,14.295464,2.637455,2.769049,2.225991,18.209148,0.905401
0.020000,4.083625,14.340476,2.693880,2.821201,2.607580,19.079470,0.941578
0.020000,4.116685,14.387671,2.751502,2.881138,2.996849,19.463411,0.977751
0.020000,4.148756,14.437165,2.810478,2.948810,3.383588,19.336990,1.013766
0.020000,4.179802,14.489068,2.870958,3.023965,3.757782,18.709705,1.049473
0.020000,4.209780,14.543480,2.933081,3.106170,4.110248,17.623289,1.084731
0.020000,4.238638,14.600489,2.996978,3.194834,4.433183,16.146757,1.119411
0.020000,4.266315,14.660168,3.062763,3.289245,4.720552,14.368412,1.153399
0.020000,4.292747,14.722573,3.130535,3.388611,4.968284,12.386604,1.186595
0.020000,4.317865,14.787742,3.200377,3.492097,5.174290,10.300337,1.218916
0.020000,4.341599,14.855694,3.272354,3.598863,5.338316,8.201275,1.250299
0.020000,4.363880,14.926430,3.346516,3.708096,5.461673,6.167863,1.280692
0.020000,4.384640,14.999935,3.422897,3.819035,5.546912,4.261942,1.310062
0.020000,4.403818,15.076180,3.501516,3.930984,5.597464,2.527581,1.338389
0.020000,4.421356,15.155122,3.582383,4.043330,5.617302,0.991919,1.365665
0.020000,4.437205,15.236707,3.665494,4.155543,5.610648,-0.332704,1.391892
0.020000,4.451321,15.320875,3.750837,4.267177,5.581724,-1.446202,1.417082
0.020000,4.463669,15.407558,3.838395,4.377869,5.534577,-2.357360,1.441255
0.020000,4.474219,15.496682,3.928141,4.487328,5.472948,-3.081417,1.464434
0.020000,4.482949,15.588173,4.020048,4.595332,5.400203,-3.637269,1.486648
0.020000,4.489844,15.681954,4.114082,4.701718,5.319293,-4.045484,1.507931
0.020000,4.494894,15.777949,4.210210,4.806373,5.232749,-4.327196,1.528316
0.020000,4.498096,15.876081,4.308394,4.909227,5.142702,-4.502347,1.547839
0.020000,4.499450,15.976277,4.408599,5.010245,5.050910,-4.589611,1.566538
0.020000,4.499500,16.092077,4.524399,5.789973,38.986381,1696.773531,1.570796
0.020000,4.499500,16.213381,4.645704,6.065244,13.763566,-1261.140754,1.570796
0.020000,4.499500,16.335881,4.768204,6.125000,2.987805,-538.788046,1.570796
0.020000,4.499500,16.459577,4.891899,6.184756,2.987805,0.000000,1.570796
0.020000,4.499500,16.584467,5.016789,6.244512,2.987805,-0.000000,1.570796
0.020000,4.499500,16.710552,5.142874,6.304268,2.987805,-0.000000,1.570796
0.020000,4.499500,16.837833,5.270155,6.364024,2.987805,0.000000,1.570796
0.020000,4.499500,16.966308,5.398630,6.423780,2.987805,0.000000,1.570796
0.020000,4.499500,17.095979,5.528301,6.483537,2.987805,-0.000000,1.570796
0.020000,4.499500,17.226845,5.659167,6.543293,2.987805,0.000000,1.570796
0.020000,4.499500,17.358906,5.791228,6.603049,2.987805,0.000000,1.570796
0.020000,4.499500,17.492162,5.924484,6.662805,2.987805,-0.000000,1.570796
0.020000,4.499500,17.626613,6.058935,6.722561,2.987805,0.000000,1.570796
0.020000,4.499500,17.762259,6.194582,6.782317,2.987805,-0.000000,1.570796
0.020000,4.499500,17.899101,6.331423,6.842073,2.987805,0.000000,1.570796
0.020000,4.499500,18.037138,6.469460,6.901829,2.987805,-0.000000,1.570796
