dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.625143,11.499500,0.000199,0.019919,0.995935,49.796748,0.000014
0.020000,1.626027,11.499500,0.001083,0.044201,1.214136,10.910072,0.000101
0.020000,1.628016,11.499500,0.003072,0.099459,2.762857,77.436029,0.000298
0.020000,1.631332,11.499502,0.006388,0.165781,3.316110,27.662645,0.000625
0.020000,1.635974,11.499506,0.011031,0.232128,3.317350,0.061999,0.001085
0.020000,1.641944,11.499514,0.017001,0.298510,3.319091,0.087046,0.001677
0.020000,1.649243,11.499529,0.024299,0.364936,3.321340,0.112450,0.002402
0.020000,1.657872,11.499554,0.032928,0.431418,3.324103,0.138175,0.003261
0.020000,1.667831,11.499591,0.042887,0.497966,3.327391,0.164390,0.004257
0.020000,1.679122,11.499645,0.054179,0.564591,3.331214,0.191162,0.005390
0.020000,1.691748,11.499721,0.066805,0.631302,3.335586,0.218565,0.006661
0.020000,1.705710,11.499824,0.080767,0.698113,3.340520,0.246704,0.008074
0.020000,1.721010,11.499960,0.096068,0.765033,3.346034,0.275734,0.009630
0.020000,1.737651,11.500134,0.112709,0.832076,3.352147,0.305641,0.011332
0.020000,1.755635,11.500355,0.130695,0.899254,3.358880,0.336650,0.013182
0.020000,1.774964,11.500629,0.150026,0.966579,3.366257,0.368848,0.015183
0.020000,1.795643,11.500965,0.170707,1.034065,3.374303,0.402276,0.017339
0.020000,1.817674,11.501372,0.192742,1.101726,3.383047,0.437196,0.019653
0.020000,1.841060,11.501861,0.216133,1.169576,3.392519,0.473639,0.022128
0.020000,1.865806,11.502441,0.240886,1.237632,3.402755,0.511799,0.024770
0.020000,1.891915,11.503125,0.267004,1.305907,3.413792,0.551821,0.027582
0.020000,1.919392,11.503924,0.294493,1.374421,3.425669,0.593838,0.030569
0.020000,1.948241,11.504852,0.323356,1.443189,3.438430,0.638083,0.033736
0.020000,1.978466,11.505922,0.353601,1.512232,3.452124,0.684674,0.037089
0.020000,2.010074,11.507151,0.385232,1.581568,3.466801,0.733880,0.040633
