dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.625115,13.500500,0.000200,0.019963,0.998125,49.906264,0.000014
0.020000,1.625826,13.500500,0.000911,0.035551,0.779444,-10.934072,0.000102
0.020000,1.627426,13.500500,0.002510,0.079985,2.221693,72.112435,0.000298
0.020000,1.630092,13.500502,0.005176,0.133292,2.665346,22.182684,0.000627
0.020000,1.633823,13.500505,0.008908,0.186574,2.664101,-0.062262,0.001087
0.020000,1.638620,13.500511,0.013704,0.239821,2.662352,-0.087441,0.001680
0.020000,1.644480,13.500523,0.019565,0.293023,2.660093,-0.112952,0.002407
0.020000,1.651403,13.500543,0.026488,0.346169,2.657317,-0.138800,0.003269
0.020000,1.659388,13.500573,0.034473,0.399250,2.654014,-0.165132,0.004266
0.020000,1.668433,13.500617,0.043518,0.452253,2.650174,-0.192025,0.005402
0.020000,1.678536,13.500678,0.053621,0.505169,2.645783,-0.219554,0.006676
0.020000,1.689696,13.500760,0.064781,0.557985,2.640826,-0.247851,0.008092
0.020000,1.701909,13.500869,0.076995,0.610691,2.635286,-0.276976,0.009652
0.020000,1.715174,13.501008,0.090260,0.663274,2.629145,-0.307071,0.011357
0.020000,1.729487,13.501184,0.104575,0.715722,2.622380,-0.338222,0.013211
0.020000,1.744846,13.501402,0.119935,0.768021,2.614969,-0.370556,0.015217
0.020000,1.761247,13.501669,0.136338,0.820159,2.606885,-0.404199,0.017378
0.020000,1.778687,13.501993,0.153781,0.872121,2.598100,-0.439277,0.019698
0.020000,1.797160,13.502379,0.172259,0.923892,2.588582,-0.475903,0.022179
0.020000,1.816664,13.502838,0.191768,0.975458,2.578296,-0.514295,0.024827
0.020000,1.837193,13.503377,0.212304,1.026802,2.567206,-0.554496,0.027646
0.020000,1.858742,13.504005,0.233862,1.077908,2.555270,-0.596793,0.030640
0.020000,1.881306,13.504732,0.256437,1.128757,2.542445,-0.641263,0.033815
0.020000,1.904877,13.505569,0.280024,1.179330,2.528682,-0.688124,0.037176
0.020000,1.929451,13.506527,0.304616,1.229609,2.513930,-0.737615,0.040729
0.020000,1.955019,13.507616,0.330207,1.279572,2.498132,-0.789885,0.044481
0.020000,1.981574,13.508851,0.356791,1.329196,2.481228,-0.845195,0.048437
0.020000,2.009108,13.510243,0.384361,1.378459,2.463153,-0.903759,0.052606
0.020000,2.037612,13.511806,0.412907,1.427336,2.443836,-0.965862,0.056996
0.020000,2.067076,13.513556,0.442423,1.475800,2.423202,-1.031717,0.061613
0.020000,2.097490,13.515506,0.472900,1.523823,2.401168,-1.101692,0.066468
0.020000,2.128843,13.517673,0.504327,1.571376,2.377648,-1.175986,0.071569
0.020000,2.161122,13.520074,0.536696,1.618427,2.352549,-1.254965,0.076927
0.020000,2.194316,13.522726,0.569995,1.664943,2.325770,-1.338954,0.082552
0.020000,2.228408,13.525648,0.604212,1.710887,2.297205,-1.428259,0.088456
0.020000,2.263386,13.528859,0.639337,1.756222,2.266740,-1.523238,0.094651
0.020000,2.299231,13.532379,0.675355,1.800907,2.234255,-1.624239,0.101150
0.020000,2.335928,13.536229,0.712253,1.844899,2.199623,-1.731601,0.107966
0.020000,2.373456,13.540432,0.750016,1.888153,2.162710,-1.845676,0.115115
0.020000,2.411796,13.545010,0.788628,1.930621,2.123375,-1.966740,0.122612
0.020000,2.450926,13.549988,0.828073,1.972250,2.081472,-2.095151,0.130474
0.020000,2.490822,13.555389,0.868333,2.012987,2.036850,-2.231108,0.138719
0.020000,2.531458,13.561241,0.909389,2.052774,1.989354,-2.374786,0.147366
0.020000,2.572808,13.567570,0.951220,2.091551,1.938827,-2.526324,0.156435
0.020000,2.614841,13.574404,0.993805,2.129253,1.885115,-2.685639,0.165947
0.020000,2.657526,13.581771,1.037121,2.165814,1.828063,-2.852574,0.175925
0.020000,2.700829,13.589701,1.081144,2.201165,1.767529,-3.026713,0.186394
0.020000,2.744713,13.598226,1.125849,2.235233,1.703381,-3.207390,0.197379
0.020000,2.789140,13.607375,1.171208,2.267943,1.635509,-3.393606,0.208907
0.020000,2.834066,13.617182,1.217192,2.299219,1.563831,-3.583886,0.221007
0.020000,2.879448,13.627680,1.263772,2.328985,1.488305,-3.776317,0.233710
0.020000,2.925236,13.638901,1.310915,2.357164,1.408941,-3.968175,0.247046
0.020000,2.971380,13.650881,1.358589,2.383681,1.325819,-4.156133,0.261049
