dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.625143,11.499500,0.000200,0.019963,0.998125,49.906264,0.000014
0.020000,1.626029,11.499500,0.001086,0.044299,1.216807,10.934073,0.000102
0.020000,1.628023,11.499500,0.003079,0.099677,2.768934,77.606359,0.000298
0.020000,1.631346,11.499502,0.006402,0.166145,3.323405,27.723574,0.000627
0.020000,1.635999,11.499506,0.011055,0.232638,3.324650,0.062252,0.001087
0.020000,1.641982,11.499514,0.017038,0.299166,3.326400,0.087464,0.001680
0.020000,1.649297,11.499529,0.024353,0.365740,3.328658,0.112918,0.002407
0.020000,1.657944,11.499554,0.033000,0.432368,3.331434,0.138801,0.003269
0.020000,1.667925,11.499591,0.042982,0.499063,3.334737,0.165127,0.004266
0.020000,1.679242,11.499646,0.054298,0.565835,3.338577,0.192007,0.005402
0.020000,1.691895,11.499722,0.066952,0.632694,3.342968,0.219554,0.006676
0.020000,1.705888,11.499826,0.080945,0.699652,3.347924,0.247824,0.008092
0.020000,1.721222,11.499962,0.096280,0.766722,3.353464,0.276968,0.009652
0.020000,1.737899,11.500137,0.112958,0.833914,3.359605,0.307047,0.011357
0.020000,1.755923,11.500358,0.130983,0.901241,3.366369,0.338202,0.013211
0.020000,1.775295,11.500634,0.150357,0.968717,3.373779,0.370538,0.015217
0.020000,1.796019,11.500972,0.171084,1.036354,3.381863,0.404170,0.017378
0.020000,1.818099,11.501381,0.193167,1.104167,3.390648,0.439235,0.019698
0.020000,1.841537,11.501872,0.216611,1.172170,3.400166,0.475901,0.022179
0.020000,1.866338,11.502455,0.241418,1.240379,3.410450,0.514221,0.024827
0.020000,1.892505,11.503141,0.267595,1.308810,3.421540,0.554491,0.027646
0.020000,1.920043,11.503944,0.295144,1.377480,3.433474,0.596721,0.030640
0.020000,1.948956,11.504876,0.324072,1.446405,3.446298,0.641207,0.033815
0.020000,1.979249,11.505952,0.354384,1.515607,3.460060,0.688098,0.037176
0.020000,2.010927,11.507186,0.386087,1.585103,3.474811,0.737538,0.040729
