dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.630143,11.499500,0.000200,0.019996,0.999823,49.991133,6.283180
0.020000,1.630916,11.499500,0.000973,0.038650,0.932701,-3.356107,6.283154
0.020000,1.632655,11.499500,0.002712,0.086953,2.415136,74.121793,6.283093
0.020000,1.635553,11.499499,0.005610,0.144890,2.896846,24.085495,6.282991
0.020000,1.639608,11.499498,0.009665,0.202779,2.894454,-0.119625,6.282848
0.020000,1.644820,11.499496,0.014877,0.260601,2.891099,-0.167733,6.282661
0.020000,1.651187,11.499492,0.021244,0.318337,2.886777,-0.216088,6.282429
0.020000,1.658706,11.499485,0.028764,0.375966,2.881482,-0.264788,6.282150
0.020000,1.667376,11.499475,0.037433,0.433470,2.875203,-0.313922,6.281821
0.020000,1.677192,11.499460,0.047249,0.490829,2.867932,-0.363578,6.281439
0.020000,1.688153,11.499438,0.058210,0.548022,2.859654,-0.413883,6.281002
0.020000,1.700253,11.499409,0.070311,0.605029,2.850355,-0.464945,6.280505
0.020000,1.713490,11.499370,0.083547,0.661830,2.840017,-0.516914,6.279944
0.020000,1.727858,11.499319,0.097915,0.718402,2.828618,-0.569928,6.279315
0.020000,1.743352,11.499253,0.113410,0.774725,2.816135,-0.624181,6.278613
0.020000,1.759967,11.499171,0.130025,0.830775,2.802538,-0.679844,6.277832
0.020000,1.777698,11.499068,0.147756,0.886531,2.787795,-0.737143,6.276967
0.020000,1.796537,11.498942,0.166595,0.941969,2.771868,-0.796330,6.276010
0.020000,1.816477,11.498789,0.186536,0.997063,2.754715,-0.857652,6.274955
0.020000,1.837512,11.498603,0.207572,1.051789,2.736286,-0.921436,6.273796
0.020000,1.859634,11.498382,0.229695,1.106119,2.716527,-0.987998,6.272523
0.020000,1.882833,11.498118,0.252895,1.160027,2.695372,-1.057736,6.271128
0.020000,1.907100,11.497807,0.277165,1.213482,2.672751,-1.131050,6.269603
0.020000,1.932427,11.497442,0.302494,1.266453,2.648583,-1.208414,6.267938
0.020000,1.958801,11.497016,0.328872,1.318909,2.622776,-1.290349,6.266122
0.020000,1.986213,11.496522,0.356288,1.370813,2.595227,-1.377426,6.264145
0.020000,2.014650,11.495950,0.384731,1.422130,2.565821,-1.470291,6.261994
0.020000,2.044099,11.495292,0.414187,1.472818,2.534428,-1.569653,6.259657
0.020000,2.074546,11.494537,0.444644,1.522836,2.500902,-1.676303,6.257121
0.020000,2.105977,11.493674,0.476087,1.572138,2.465080,-1.791119,6.254371
0.020000,2.138376,11.492693,0.508500,1.620674,2.426778,-1.915084,6.251392
0.020000,2.171725,11.491579,0.541868,1.668389,2.385793,-2.049253,6.248168
0.020000,2.206007,11.490318,0.576173,1.715227,2.341896,-2.194869,6.244681
