dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000127,0.305000,0.000199,0.019852,0.992622,49.631089,0.000071
0.020000,0.000805,0.305000,0.000876,0.033891,0.701931,-14.534515,0.000453
0.020000,0.002330,0.305002,0.002401,0.076250,2.117922,70.799538,0.001311
0.020000,0.004871,0.305007,0.004943,0.127066,2.540825,21.145157,0.002742
0.020000,0.008428,0.305020,0.008500,0.177858,2.539601,-0.061205,0.004748
0.020000,0.013000,0.305048,0.013072,0.228616,2.537913,-0.084393,0.007331
0.020000,0.018587,0.305097,0.018659,0.279332,2.535789,-0.106234,0.010494
0.020000,0.025186,0.305179,0.025259,0.329997,2.533263,-0.126291,0.014240
0.020000,0.032797,0.305304,0.032871,0.380605,2.530380,-0.144157,0.018573
0.020000,0.041418,0.305485,0.041494,0.431149,2.527195,-0.159250,0.023496
0.020000,0.051047,0.305738,0.051126,0.481624,2.523773,-0.171103,0.029016
0.020000,0.061683,0.306079,0.061767,0.532028,2.520192,-0.179059,0.035135
0.020000,0.073321,0.306528,0.073414,0.582359,2.516542,-0.182498,0.041860
0.020000,0.085960,0.307103,0.086066,0.632617,2.512927,-0.180705,0.049194
0.020000,0.099597,0.307829,0.099723,0.682807,2.509469,-0.172898,0.057142
0.020000,0.114228,0.308729,0.114381,0.732933,2.506303,-0.158322,0.065709
0.020000,0.129850,0.309829,0.130041,0.783005,2.503583,-0.136010,0.074898
0.020000,0.146457,0.311157,0.146702,0.833034,2.501479,-0.105210,0.084712
0.020000,0.164047,0.312743,0.164363,0.883038,2.500181,-0.064887,0.095152
0.020000,0.182613,0.314619,0.183023,0.933036,2.499896,-0.014234,0.106219
0.020000,0.202151,0.316817,0.202684,0.983053,2.500849,0.047639,0.117911
0.020000,0.222654,0.319374,0.223347,1.033118,2.503279,0.121520,0.130226
0.020000,0.244117,0.322327,0.245012,1.083267,2.507439,0.207998,0.143158
0.020000,0.266534,0.325713,0.267683,1.133539,2.513592,0.307622,0.156698
0.020000,0.289897,0.329573,0.291363,1.183979,2.522003,0.420555,0.170836
0.020000,0.314198,0.333950,0.316055,1.234638,2.532938,0.546763,0.185558
0.020000,0.339431,0.338887,0.341767,1.285571,2.546654,0.685783,0.200845
0.020000,0.365588,0.344429,0.368503,1.336839,2.563389,0.836770,0.216676
0.020000,0.392659,0.350620,0.396274,1.388506,2.583357,0.998363,0.233024
0.020000,0.420636,0.357510,0.425086,1.440640,2.606731,1.168708,0.249858
0.020000,0.449509,0.365145,0.454953,1.493313,2.633639,1.345436,0.267144
0.020000,0.479271,0.373575,0.485885,1.546596,2.664152,1.525633,0.284841
0.020000,0.509909,0.382848,0.517896,1.600562,2.698271,1.705956,0.302905
0.020000,0.541415,0.393014,0.551001,1.655280,2.735925,1.882686,0.321286
0.020000,0.573778,0.404122,0.585218,1.710819,2.776962,2.051836,0.339930
0.020000,0.606988,0.416222,0.620563,1.767242,2.821149,2.209366,0.358780
0.020000,0.641033,0.429360,0.657055,1.824606,2.868175,2.351318,0.377773
0.020000,0.675902,0.443586,0.694714,1.882959,2.917656,2.474049,0.396846
0.020000,0.711584,0.458943,0.733561,1.942342,2.969145,2.574445,0.415929
0.020000,0.748068,0.475477,0.773616,2.002785,3.022147,2.650083,0.434955
0.020000,0.785343,0.493229,0.814903,2.064307,3.076135,2.699412,0.453852
