dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000170,-0.305000,0.000199,0.019852,0.992622,49.631089,0.000071
0.020000,0.001081,-0.305000,0.001109,0.045519,1.283312,14.534521,0.000453
0.020000,0.003129,-0.304998,0.003157,0.102422,2.845186,78.093713,0.001311
0.020000,0.006543,-0.304991,0.006572,0.170720,3.414904,28.485880,0.002742
0.020000,0.011324,-0.304973,0.011353,0.239043,3.416127,0.061163,0.004748
0.020000,0.017472,-0.304936,0.017501,0.307399,3.417813,0.084302,0.007331
0.020000,0.024988,-0.304869,0.025017,0.375798,3.419936,0.106112,0.010494
0.020000,0.033872,-0.304759,0.033902,0.444247,3.422459,0.126177,0.014240
0.020000,0.044126,-0.304591,0.044157,0.512754,3.425338,0.143963,0.018573
0.020000,0.055750,-0.304346,0.055783,0.581324,3.428520,0.159077,0.023496
0.020000,0.068745,-0.304005,0.068782,0.649963,3.431937,0.170865,0.029016
0.020000,0.083111,-0.303544,0.083156,0.718673,3.435513,0.178808,0.035135
0.020000,0.098848,-0.302938,0.098905,0.787457,3.439158,0.182213,0.041860
0.020000,0.115957,-0.302159,0.116031,0.856312,3.442765,0.180380,0.049194
0.020000,0.134435,-0.301175,0.134536,0.925236,3.446217,0.172575,0.057142
0.020000,0.154282,-0.299955,0.154420,0.994224,3.449375,0.157899,0.065709
0.020000,0.175495,-0.298461,0.175686,1.063265,3.452088,0.135644,0.074898
0.020000,0.198070,-0.296656,0.198333,1.132349,3.454182,0.104730,0.084712
0.020000,0.222002,-0.294498,0.222362,1.201458,3.455471,0.064431,0.095152
0.020000,0.247285,-0.291943,0.247773,1.270573,3.455745,0.013733,0.106219
0.020000,0.273910,-0.288947,0.274567,1.339669,3.454782,-0.048167,0.117911
0.020000,0.301868,-0.285461,0.302741,1.408716,3.452342,-0.122025,0.130226
0.020000,0.331146,-0.281433,0.332295,1.477679,3.448170,-0.208564,0.143158
0.020000,0.361729,-0.276813,0.363225,1.546519,3.442007,-0.308145,0.156698
0.020000,0.393601,-0.271547,0.395529,1.615191,3.433586,-0.421086,0.170836
0.020000,0.426740,-0.265578,0.429202,1.683644,3.422641,-0.547257,0.185558
0.020000,0.461125,-0.258851,0.464238,1.751822,3.408916,-0.686250,0.200845
0.020000,0.496728,-0.251308,0.500631,1.819666,3.392172,-0.837169,0.216676
0.020000,0.533520,-0.242893,0.538374,1.887110,3.372198,-0.998690,0.233024
0.020000,0.571468,-0.233548,0.577455,1.954086,3.348819,-1.168953,0.249858
0.020000,0.610536,-0.223217,0.617866,2.020524,3.321908,-1.345556,0.267144
0.020000,0.650684,-0.211846,0.659593,2.086352,3.291396,-1.525632,0.284841
0.020000,0.691869,-0.199381,0.702623,2.151498,3.257279,-1.705818,0.302905
0.020000,0.734045,-0.185773,0.746941,2.215890,3.219632,-1.882382,0.321286
0.020000,0.777165,-0.170973,0.792530,2.279462,3.178604,-2.051375,0.339930
0.020000,0.821178,-0.154937,0.839373,2.342151,3.134430,-2.208730,0.358780
